id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,13,28,742.2215544763343,2.0889293468811663,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,DMSO unstim,DMSO stim,3,3,-976.7947454086332,-68.51805423386119,0.0,2,28,0.05
,,DMSO unstim,0.1 uM RDN unstim,3,3,0.37521869953666664,0.026320017921121146,0.9791887816643374,,,
,,DMSO unstim,0.1 uM RDN stim,3,3,-448.34247364196665,-31.449343957611593,0.0,,,
,,DMSO unstim,1 uM RDN unstim,3,3,-3.7933429823000004,-0.26608709906617706,0.7921217494315747,,,
,,DMSO unstim,1 uM RDN stim,3,3,-41.09957165863334,-2.8829625600787083,0.007487854950856576,,,
,,DMSO unstim,10 uM RDN unstim,3,3,-3.678426574933334,-0.2580261951052167,0.7982738001213714,,,
,,DMSO unstim,10 uM RDN stim,3,3,-7.669606500633334,-0.5379907259256684,0.5948343966528333,,,
,,DMSO unstim,0.1 uM Soq unstim,3,3,-2.058023474966667,-0.1443617144084191,0.886248918445329,,,
,,DMSO unstim,0.1 uM Soq stim,3,3,-238.00595740863335,-16.695119598421485,4.440892098500626e-16,,,
,,DMSO unstim,1 uM Soq unstim,3,3,-1.0372147613,-0.07275626491744093,0.9425173237159634,,,
,,DMSO unstim,1 uM Soq stim,3,3,-81.18414654863334,-5.694727354232376,4.174131150724847e-06,,,
,,DMSO unstim,10 uM Soq unstim,3,3,0.3184821627333332,0.022340187845247862,0.9823350398450403,,,
,,DMSO unstim,10 uM Soq stim,3,3,-32.92866677863333,-2.3098078555318984,0.02848739721435045,,,
,,DMSO stim,0.1 uM RDN unstim,3,3,977.1699641081699,68.54437425178232,0.0,,,
,,DMSO stim,0.1 uM RDN stim,3,3,528.4522717666666,37.068710276249604,0.0,,,
,,DMSO stim,1 uM RDN unstim,3,3,973.0014024263332,68.25196713479501,0.0,,,
,,DMSO stim,1 uM RDN stim,3,3,935.6951737499999,65.63509167378248,0.0,,,
,,DMSO stim,10 uM RDN unstim,3,3,973.1163188336999,68.26002803875598,0.0,,,
,,DMSO stim,10 uM RDN stim,3,3,969.1251389079998,67.98006350793551,0.0,,,
,,DMSO stim,0.1 uM Soq unstim,3,3,974.7367219336666,68.37369251945277,0.0,,,
,,DMSO stim,0.1 uM Soq stim,3,3,738.7887879999998,51.82293463543971,0.0,,,
,,DMSO stim,1 uM Soq unstim,3,3,975.7575306473332,68.44529796894375,0.0,,,
,,DMSO stim,1 uM Soq stim,3,3,895.6105988599999,62.823326879628816,0.0,,,
,,DMSO stim,10 uM Soq unstim,3,3,977.1132275713666,68.54039442170644,0.0,,,
,,DMSO stim,10 uM Soq stim,3,3,943.8660786299998,66.20824637832929,0.0,,,
,,0.1 uM RDN unstim,0.1 uM RDN stim,3,3,-448.7176923415033,-31.475663975532715,0.0,,,
,,0.1 uM RDN unstim,1 uM RDN unstim,3,3,-4.1685616818366675,-0.2924071169872982,0.7721312189531355,,,
,,0.1 uM RDN unstim,1 uM RDN stim,3,3,-41.47479035817,-2.909282577999829,0.00702184989294552,,,
,,0.1 uM RDN unstim,10 uM RDN unstim,3,3,-4.05364527447,-0.2843462130263378,0.7782374112865398,,,
,,0.1 uM RDN unstim,10 uM RDN stim,3,3,-8.044825200170001,-0.5643107438467897,0.5770355933288887,,,
,,0.1 uM RDN unstim,0.1 uM Soq unstim,3,3,-2.4332421745033335,-0.17068173232954023,0.8657014290581426,,,
,,0.1 uM RDN unstim,0.1 uM Soq stim,3,3,-238.38117610817002,-16.721439616342607,4.440892098500626e-16,,,
,,0.1 uM RDN unstim,1 uM Soq unstim,3,3,-1.4124334608366667,-0.09907628283856208,0.9217836318790429,,,
,,0.1 uM RDN unstim,1 uM Soq stim,3,3,-81.55936524817,-5.721047372153497,3.8867470075754085e-06,,,
,,0.1 uM RDN unstim,10 uM Soq unstim,3,3,-0.05673653680333346,-0.003979830075873282,0.9968527836589915,,,
,,0.1 uM RDN unstim,10 uM Soq stim,3,3,-33.303885478169995,-2.3361278734530195,0.02687087720803194,,,
,,0.1 uM RDN stim,1 uM RDN unstim,3,3,444.5491306596666,31.183256858545413,0.0,,,
,,0.1 uM RDN stim,1 uM RDN stim,3,3,407.2429019833333,28.566381397532883,0.0,,,
,,0.1 uM RDN stim,10 uM RDN unstim,3,3,444.6640470670333,31.191317762506376,0.0,,,
,,0.1 uM RDN stim,10 uM RDN stim,3,3,440.6728671413333,30.911353231685922,0.0,,,
,,0.1 uM RDN stim,0.1 uM Soq unstim,3,3,446.284450167,31.304982243203174,0.0,,,
,,0.1 uM RDN stim,0.1 uM Soq stim,3,3,210.3365162333333,14.754224359190108,9.992007221626409e-15,,,
,,0.1 uM RDN stim,1 uM Soq unstim,3,3,447.30525888066666,31.37658769269415,0.0,,,
,,0.1 uM RDN stim,1 uM Soq stim,3,3,367.1583270933333,25.754616603379215,0.0,,,
,,0.1 uM RDN stim,10 uM Soq unstim,3,3,448.6609558047,31.47168414545684,0.0,,,
,,0.1 uM RDN stim,10 uM Soq stim,3,3,415.4138068633333,29.139536102079692,0.0,,,
,,1 uM RDN unstim,1 uM RDN stim,3,3,-37.30622867633333,-2.616875461012531,0.014146459438715508,,,
,,1 uM RDN unstim,10 uM RDN unstim,3,3,0.11491640736666664,0.008060903960960394,0.9936255586304679,,,
,,1 uM RDN unstim,10 uM RDN stim,3,3,-3.8762635183333334,-0.27190362685949143,0.7876910339417162,,,
,,1 uM RDN unstim,0.1 uM Soq unstim,3,3,1.7353195073333336,0.12172538465775797,0.9039859202208804,,,
,,1 uM RDN unstim,0.1 uM Soq stim,3,3,-234.21261442633335,-16.42903249935531,6.661338147750939e-16,,,
,,1 uM RDN unstim,1 uM Soq unstim,3,3,2.7561282210000004,0.1933308341487361,0.8480954894734838,,,
,,1 uM RDN unstim,1 uM Soq stim,3,3,-77.39080356633333,-5.428640255166199,8.603450324828898e-06,,,
,,1 uM RDN unstim,10 uM Soq unstim,3,3,4.111825145033333,0.2884272869114249,0.7751441366457636,,,
,,1 uM RDN unstim,10 uM Soq stim,3,3,-29.13532379633333,-2.0437207564657216,0.05049141487138864,,,
,,1 uM RDN stim,10 uM RDN unstim,3,3,37.4211450837,2.6249363649734914,0.013881704472079592,,,
,,1 uM RDN stim,10 uM RDN stim,3,3,33.429965158,2.3449718341530397,0.026346720647157484,,,
,,1 uM RDN stim,0.1 uM Soq unstim,3,3,39.04154818366667,2.7386008456702893,0.01060761822040912,,,
,,1 uM RDN stim,0.1 uM Soq stim,3,3,-196.90638575000003,-13.812157038342777,5.040412531798211e-14,,,
,,1 uM RDN stim,1 uM Soq unstim,3,3,40.06235689733333,2.810206295161267,0.008932623007942508,,,
,,1 uM RDN stim,1 uM Soq stim,3,3,-40.08457489,-2.8117647941536683,0.008899095265108459,,,
,,1 uM RDN stim,10 uM Soq unstim,3,3,41.41805382136667,2.905302747923956,0.00709050934524047,,,
,,1 uM RDN stim,10 uM Soq stim,3,3,8.170904880000002,0.5731547045468095,0.5711148009706979,,,
,,10 uM RDN unstim,10 uM RDN stim,3,3,-3.9911799257,-0.2799645308204518,0.7815626616529854,,,
,,10 uM RDN unstim,0.1 uM Soq unstim,3,3,1.620403099966667,0.11366448069679756,0.9103148634886351,,,
,,10 uM RDN unstim,0.1 uM Soq stim,3,3,-234.32753083370002,-16.43709340331627,6.661338147750939e-16,,,
,,10 uM RDN unstim,1 uM Soq unstim,3,3,2.641211813633334,0.18526993018777574,0.8543528573453099,,,
,,10 uM RDN unstim,1 uM Soq stim,3,3,-77.5057199737,-5.43670115912716,8.416580048020705e-06,,,
,,10 uM RDN unstim,10 uM Soq unstim,3,3,3.9969087376666668,0.2803663829504645,0.7812575203305716,,,
,,10 uM RDN unstim,10 uM Soq stim,3,3,-29.2502402037,-2.051781660426682,0.049648769374235124,,,
,,10 uM RDN stim,0.1 uM Soq unstim,3,3,5.611583025666667,0.3936290115172493,0.6968365149665496,,,
,,10 uM RDN stim,0.1 uM Soq stim,3,3,-230.33635090800001,-16.157128872495814,8.881784197001252e-16,,,
,,10 uM RDN stim,1 uM Soq unstim,3,3,6.632391739333334,0.4652344610082276,0.6453617252678974,,,
,,10 uM RDN stim,1 uM Soq stim,3,3,-73.514540048,-5.156736628306708,1.8068666323367566e-05,,,
,,10 uM RDN stim,10 uM Soq unstim,3,3,7.988088663366667,0.5603309137709164,0.5797098982138171,,,
,,10 uM RDN stim,10 uM Soq stim,3,3,-25.259060278,-1.7718171296062302,0.08730890297216143,,,
,,0.1 uM Soq unstim,0.1 uM Soq stim,3,3,-235.9479339336667,-16.550757884013066,6.661338147750939e-16,,,
,,0.1 uM Soq unstim,1 uM Soq unstim,3,3,1.0208087136666668,0.07160544949097816,0.9434249295008563,,,
,,0.1 uM Soq unstim,1 uM Soq stim,3,3,-79.12612307366666,-5.550365639823957,6.177164875165175e-06,,,
,,0.1 uM Soq unstim,10 uM Soq unstim,3,3,2.3765056377000002,0.16670190225366696,0.8688026357558443,,,
,,0.1 uM Soq unstim,10 uM Soq stim,3,3,-30.870643303666665,-2.1654461411234793,0.03902517011167861,,,
,,0.1 uM Soq stim,1 uM Soq unstim,3,3,236.96874264733336,16.622363333504044,4.440892098500626e-16,,,
,,0.1 uM Soq stim,1 uM Soq stim,3,3,156.82181086000003,11.000392244189108,1.1262768495612363e-11,,,
,,0.1 uM Soq stim,10 uM Soq unstim,3,3,238.32443957136667,16.71745978626673,4.440892098500626e-16,,,
,,0.1 uM Soq stim,10 uM Soq stim,3,3,205.07729063000002,14.385311742889586,1.84297022087776e-14,,,
,,1 uM Soq unstim,1 uM Soq stim,3,3,-80.14693178733333,-5.621971089314935,5.0850416997150205e-06,,,
,,1 uM Soq unstim,10 uM Soq unstim,3,3,1.3556969240333332,0.0950964527626888,0.9249155324819007,,,
,,1 uM Soq unstim,10 uM Soq stim,3,3,-31.891452017333332,-2.2370515906144575,0.033425095228463375,,,
,,1 uM Soq stim,10 uM Soq unstim,3,3,81.50262871136667,5.717067542077625,3.92888706035599e-06,,,
,,1 uM Soq stim,10 uM Soq stim,3,3,48.25547977,3.384919498700478,0.0021234806707852716,,,
,,10 uM Soq unstim,10 uM Soq stim,3,3,-33.24714894136667,-2.3321480433771464,0.027109831782632154,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,DMSO unstim,DMSO stim,3,3,-976.7947454086332,-68.51805423386119,0.0,2,28,0.05,True
,,DMSO unstim,0.1 uM RDN unstim,3,3,0.37521869953666664,0.026320017921121146,0.9999999999999983,,,,False
,,DMSO unstim,0.1 uM RDN stim,3,3,-448.34247364196665,-31.449343957611593,0.0,,,,True
,,DMSO unstim,1 uM RDN unstim,3,3,-3.7933429823000004,-0.26608709906617706,0.9999999999999983,,,,False
,,DMSO unstim,1 uM RDN stim,3,3,-41.09957165863334,-2.8829625600787083,0.2815831486529523,,,,False
,,DMSO unstim,10 uM RDN unstim,3,3,-3.678426574933334,-0.2580261951052167,0.9999999999999983,,,,False
,,DMSO unstim,10 uM RDN stim,3,3,-7.669606500633334,-0.5379907259256684,0.9999999999782284,,,,False
,,DMSO unstim,0.1 uM Soq unstim,3,3,-2.058023474966667,-0.1443617144084191,0.9999999999999983,,,,False
,,DMSO unstim,0.1 uM Soq stim,3,3,-238.00595740863335,-16.695119598421485,2.9753977059954195e-14,,,,True
,,DMSO unstim,1 uM Soq unstim,3,3,-1.0372147613,-0.07275626491744093,0.9999999999999983,,,,False
,,DMSO unstim,1 uM Soq stim,3,3,-81.18414654863334,-5.694727354232376,0.00022120494328703444,,,,True
,,DMSO unstim,10 uM Soq unstim,3,3,0.3184821627333332,0.022340187845247862,0.9999999999999983,,,,False
,,DMSO unstim,10 uM Soq stim,3,3,-32.92866677863333,-2.3098078555318984,0.6374527832403502,,,,False
,,DMSO stim,0.1 uM RDN unstim,3,3,977.1699641081699,68.54437425178232,0.0,,,,True
,,DMSO stim,0.1 uM RDN stim,3,3,528.4522717666666,37.068710276249604,0.0,,,,True
,,DMSO stim,1 uM RDN unstim,3,3,973.0014024263332,68.25196713479501,0.0,,,,True
,,DMSO stim,1 uM RDN stim,3,3,935.6951737499999,65.63509167378248,0.0,,,,True
,,DMSO stim,10 uM RDN unstim,3,3,973.1163188336999,68.26002803875598,0.0,,,,True
,,DMSO stim,10 uM RDN stim,3,3,969.1251389079998,67.98006350793551,0.0,,,,True
,,DMSO stim,0.1 uM Soq unstim,3,3,974.7367219336666,68.37369251945277,0.0,,,,True
