id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,13,28,172.26752443406906,2.0889293468811663,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,DMSO unstim,DMSO stim,3,3,-134.2416725041333,-31.365306367847683,0.0,2,28,0.05
,,DMSO unstim,0.1 uM RDN unstim,3,3,-0.9409610843666665,-0.21985373201063138,0.8275800855853968,,,
,,DMSO unstim,0.1 uM RDN stim,3,3,-79.87254973746667,-18.662066302992898,0.0,,,
,,DMSO unstim,1 uM RDN unstim,3,3,-1.3929123504999998,-0.32545126861143764,0.7472591429445803,,,
,,DMSO unstim,1 uM RDN stim,3,3,-19.1895580008,-4.483603001446087,0.00011361652541497236,,,
,,DMSO unstim,10 uM RDN unstim,3,3,-1.1512567931333333,-0.2689889164155119,0.7899104071461807,,,
,,DMSO unstim,10 uM RDN stim,3,3,-8.645969421466667,-2.0201139831820485,0.05303221255767454,,,
,,DMSO unstim,0.1 uM Soq unstim,3,3,-2.3055526958,-0.5386879148779793,0.5943595319071662,,,
,,DMSO unstim,0.1 uM Soq stim,3,3,-58.6724850108,-13.70871230518996,6.061817714453355e-14,,,
,,DMSO unstim,1 uM Soq unstim,3,3,-1.5543930963666666,-0.3631809316299061,0.7191972877572637,,,
,,DMSO unstim,1 uM Soq stim,3,3,-28.987547160800002,-6.772884161756335,2.3496059120553525e-07,,,
,,DMSO unstim,10 uM Soq unstim,3,3,-0.6320216134666667,-0.1476706239403643,0.8836609755475002,,,
,,DMSO unstim,10 uM Soq stim,3,3,-13.718787704133334,-3.205368134268105,0.0033591716947629635,,,
,,DMSO stim,0.1 uM RDN unstim,3,3,133.30071141976666,31.145452635837056,0.0,,,
,,DMSO stim,0.1 uM RDN stim,3,3,54.36912276666665,12.703240064854791,3.8413716652030416e-13,,,
,,DMSO stim,1 uM RDN unstim,3,3,132.84876015363332,31.03985509923625,0.0,,,
,,DMSO stim,1 uM RDN stim,3,3,115.05211450333331,26.8817033664016,0.0,,,
,,DMSO stim,10 uM RDN unstim,3,3,133.090415711,31.096317451432178,0.0,,,
,,DMSO stim,10 uM RDN stim,3,3,125.59570308266666,29.34519238466564,0.0,,,
,,DMSO stim,0.1 uM Soq unstim,3,3,131.93611980833333,30.82661845296971,0.0,,,
,,DMSO stim,0.1 uM Soq stim,3,3,75.56918749333332,17.656594062657724,2.220446049250313e-16,,,
,,DMSO stim,1 uM Soq unstim,3,3,132.68727940776665,31.00212543621778,0.0,,,
,,DMSO stim,1 uM Soq stim,3,3,105.25412534333331,24.592422206091353,0.0,,,
,,DMSO stim,10 uM Soq unstim,3,3,133.60965089066664,31.21763574390732,0.0,,,
,,DMSO stim,10 uM Soq stim,3,3,120.52288479999999,28.15993823357958,0.0,,,
,,0.1 uM RDN unstim,0.1 uM RDN stim,3,3,-78.93158865310001,-18.442212570982267,0.0,,,
,,0.1 uM RDN unstim,1 uM RDN unstim,3,3,-0.45195126613333336,-0.10559753660080626,0.916654561718401,,,
,,0.1 uM RDN unstim,1 uM RDN stim,3,3,-18.248596916433335,-4.263749269435456,0.000206409878062086,,,
,,0.1 uM RDN unstim,10 uM RDN unstim,3,3,-0.2102957087666668,-0.04913518440488058,0.9611603874501495,,,
,,0.1 uM RDN unstim,10 uM RDN stim,3,3,-7.705008337100001,-1.8002602511714172,0.08260290365256062,,,
,,0.1 uM RDN unstim,0.1 uM Soq unstim,3,3,-1.3645916114333334,-0.3188341828673479,0.7522185867182447,,,
,,0.1 uM RDN unstim,0.1 uM Soq stim,3,3,-57.73152392643333,-13.488858573179328,8.992806499463768e-14,,,
,,0.1 uM RDN unstim,1 uM Soq unstim,3,3,-0.6134320120000001,-0.14332719961927473,0.8870582903949329,,,
,,0.1 uM RDN unstim,1 uM Soq stim,3,3,-28.046586076433336,-6.553030429745704,4.188291324869198e-07,,,
,,0.1 uM RDN unstim,10 uM Soq unstim,3,3,0.30893947089999974,0.07218310807026708,0.9429693416744664,,,
,,0.1 uM RDN unstim,10 uM Soq stim,3,3,-12.777826619766667,-2.9855144022574738,0.005822174176019157,,,
,,0.1 uM RDN stim,1 uM RDN unstim,3,3,78.47963738696667,18.33661503438146,0.0,,,
,,0.1 uM RDN stim,1 uM RDN stim,3,3,60.682991736666665,14.178463301546808,2.6423307986078726e-14,,,
,,0.1 uM RDN stim,10 uM RDN unstim,3,3,78.72129294433334,18.393077386577385,0.0,,,
,,0.1 uM RDN stim,10 uM RDN stim,3,3,71.226580316,16.641952319810848,4.440892098500626e-16,,,
,,0.1 uM RDN stim,0.1 uM Soq unstim,3,3,77.56699704166667,18.123378388114915,0.0,,,
,,0.1 uM RDN stim,0.1 uM Soq stim,3,3,21.200064726666668,4.953353997802935,3.1506268936665194e-05,,,
,,0.1 uM RDN stim,1 uM Soq unstim,3,3,78.3181566411,18.29888537136299,0.0,,,
,,0.1 uM RDN stim,1 uM Soq stim,3,3,50.885002576666665,11.88918214123656,1.8536283619141614e-12,,,
,,0.1 uM RDN stim,10 uM Soq unstim,3,3,79.24052812400001,18.514395679052534,0.0,,,
,,0.1 uM RDN stim,10 uM Soq stim,3,3,66.15376203333334,15.456698168724792,3.1086244689504383e-15,,,
,,1 uM RDN unstim,1 uM RDN stim,3,3,-17.7966456503,-4.158151732834649,0.0002745982475271802,,,
,,1 uM RDN unstim,10 uM RDN unstim,3,3,0.24165555736666655,0.056462352195925686,0.9553744803336575,,,
