id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,13,28,39.98518528760708,2.0889293468811663,1.3655743202889425e-14,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,DMSO unstim,DMSO stim,3,3,-38.13666666666666,-13.153141890054274,1.6586731987899839e-13,2,28,0.05
,,DMSO unstim,0.1 uM RDN unstim,3,3,1.6099999999999999,0.555280791267915,0.5831122012287393,,,
,,DMSO unstim,0.1 uM RDN stim,3,3,-22.03333333333333,-7.599184327703763,2.8096964088675236e-08,,,
,,DMSO unstim,1 uM RDN unstim,3,3,1.6633333333333333,0.5736751860097092,0.5707673045442174,,,
,,DMSO unstim,1 uM RDN stim,3,3,-22.17666666666667,-7.6486192635723365,2.4809254872693032e-08,,,
,,DMSO unstim,10 uM RDN unstim,3,3,1.7233333333333334,0.5943688800942278,0.557037965309287,,,
,,DMSO unstim,10 uM RDN stim,3,3,-2.0166666666666666,-0.6955380511740964,0.4924510225594241,,,
,,DMSO unstim,0.1 uM Soq unstim,3,3,0.08333333333333304,0.028741241784053465,0.9772748446930646,,,
,,DMSO unstim,0.1 uM Soq stim,3,3,-21.95666666666667,-7.572742385262436,3.0034615239316054e-08,,,
,,DMSO unstim,1 uM Soq unstim,3,3,0.8699999999999999,0.30005856422551924,0.7663489185917411,,,
,,DMSO unstim,1 uM Soq stim,3,3,-15.723333333333334,-5.422897499815228,8.739120194833916e-06,,,
,,DMSO unstim,10 uM Soq unstim,3,3,0.7733333333333334,0.26671872375601713,0.7916402662791735,,,
,,DMSO unstim,10 uM Soq stim,3,3,-14.84666666666667,-5.120539636246985,1.9947430236033625e-05,,,
,,DMSO stim,0.1 uM RDN unstim,3,3,39.74666666666666,13.708422681322189,6.061817714453355e-14,,,
,,DMSO stim,0.1 uM RDN stim,3,3,16.103333333333335,5.553957562350512,6.117133962257881e-06,,,
,,DMSO stim,1 uM RDN unstim,3,3,39.8,13.726817076063984,5.861977570020827e-14,,,
,,DMSO stim,1 uM RDN stim,3,3,15.959999999999997,5.504522626481939,6.997497220329052e-06,,,
,,DMSO stim,10 uM RDN unstim,3,3,39.86,13.747510770148503,5.639932965095795e-14,,,
,,DMSO stim,10 uM RDN stim,3,3,36.12,12.457603838880178,6.130651541980114e-13,,,
,,DMSO stim,0.1 uM Soq unstim,3,3,38.22,13.181883131838328,1.574296248918472e-13,,,
,,DMSO stim,0.1 uM Soq stim,3,3,16.179999999999996,5.580399504791839,5.69291971963537e-06,,,
,,DMSO stim,1 uM Soq unstim,3,3,39.00666666666667,13.453200454279795,9.592326932761353e-14,,,
,,DMSO stim,1 uM Soq stim,3,3,22.41333333333333,7.730244390239047,2.021472345070663e-08,,,
,,DMSO stim,10 uM Soq unstim,3,3,38.91,13.419860613810291,1.0191847366058937e-13,,,
,,DMSO stim,10 uM Soq stim,3,3,23.289999999999996,8.03260225380729,9.536837985990587e-09,,,
,,0.1 uM RDN unstim,0.1 uM RDN stim,3,3,-23.64333333333333,-8.154465118971677,7.068940766075116e-09,,,
,,0.1 uM RDN unstim,1 uM RDN unstim,3,3,0.0533333333333334,0.018394394741794308,0.9854546762385801,,,
,,0.1 uM RDN unstim,1 uM RDN stim,3,3,-23.78666666666667,-8.203900054840252,6.2637943720744715e-09,,,
,,0.1 uM RDN unstim,10 uM RDN unstim,3,3,0.1133333333333334,0.03908808882631287,0.9690975320616124,,,
,,0.1 uM RDN unstim,10 uM RDN stim,3,3,-3.626666666666667,-1.2508188424420115,0.22135205958733573,,,
,,0.1 uM RDN unstim,0.1 uM Soq unstim,3,3,-1.5266666666666668,-0.5265395494838614,0.6026599598306261,,,
,,0.1 uM RDN unstim,0.1 uM Soq stim,3,3,-23.56666666666667,-8.12802317653035,7.542260593851324e-09,,,
,,0.1 uM RDN unstim,1 uM Soq unstim,3,3,-0.74,-0.25522222704239567,0.8004168999251391,,,
,,0.1 uM RDN unstim,1 uM Soq stim,3,3,-17.333333333333336,-5.978178291083143,1.940745822714973e-06,,,
,,0.1 uM RDN unstim,10 uM Soq unstim,3,3,-0.8366666666666664,-0.2885620675118978,0.7750420427076143,,,
,,0.1 uM RDN unstim,10 uM Soq stim,3,3,-16.45666666666667,-5.6758204275149,4.393710081318503e-06,,,
,,0.1 uM RDN stim,1 uM RDN unstim,3,3,23.696666666666662,8.17285951371347,6.75767064528543e-09,,,
,,0.1 uM RDN stim,1 uM RDN stim,3,3,-0.14333333333333798,-0.04943493586857374,0.9609236438227113,,,
,,0.1 uM RDN stim,10 uM RDN unstim,3,3,23.756666666666664,8.19355320779799,6.4241834074607596e-09,,,
,,0.1 uM RDN stim,10 uM RDN stim,3,3,20.016666666666662,6.903646276529666,1.6701217298020765e-07,,,
,,0.1 uM RDN stim,0.1 uM Soq unstim,3,3,22.116666666666664,7.627925569487816,2.6134927333387736e-08,,,
,,0.1 uM RDN stim,0.1 uM Soq stim,3,3,0.07666666666666089,0.02644194244132729,0.9790923992524625,,,
,,0.1 uM RDN stim,1 uM Soq unstim,3,3,22.90333333333333,7.899242891929282,1.3264167098014923e-08,,,
,,0.1 uM RDN stim,1 uM Soq stim,3,3,6.309999999999995,2.176286827888535,0.03812662926726462,,,
,,0.1 uM RDN stim,10 uM Soq unstim,3,3,22.806666666666665,7.86590305145978,1.4409674564674901e-08,,,
,,0.1 uM RDN stim,10 uM Soq stim,3,3,7.18666666666666,2.4786446914567777,0.01948121072189779,,,
,,1 uM RDN unstim,1 uM RDN stim,3,3,-23.84,-8.222294449582044,5.9886879899551104e-09,,,
,,1 uM RDN unstim,10 uM RDN unstim,3,3,0.06,0.020693694084518568,0.9836367646169368,,,
,,1 uM RDN unstim,10 uM RDN stim,3,3,-3.68,-1.2692132371838056,0.21481406768966704,,,
,,1 uM RDN unstim,0.1 uM Soq unstim,3,3,-1.5800000000000003,-0.5449339442256558,0.590113450565332,,,
,,1 uM RDN unstim,0.1 uM Soq stim,3,3,-23.62,-8.146417571272144,7.209691732512624e-09,,,
,,1 uM RDN unstim,1 uM Soq unstim,3,3,-0.7933333333333334,-0.27361662178419,0.7863875395829767,,,
,,1 uM RDN unstim,1 uM Soq stim,3,3,-17.386666666666667,-5.996572685824937,1.8470145739524213e-06,,,
,,1 uM RDN unstim,10 uM Soq unstim,3,3,-0.8899999999999999,-0.3069564622536921,0.7611478098969027,,,
,,1 uM RDN unstim,10 uM Soq stim,3,3,-16.51,-5.6942148222566935,4.179935126913392e-06,,,
,,1 uM RDN stim,10 uM RDN unstim,3,3,23.900000000000002,8.242988143666564,5.693910454240836e-09,,,
,,1 uM RDN stim,10 uM RDN stim,3,3,20.16,6.9530812123982395,1.4686469129721047e-07,,,
,,1 uM RDN stim,0.1 uM Soq unstim,3,3,22.26,7.67736050535639,2.3080919175910708e-08,,,
,,1 uM RDN stim,0.1 uM Soq stim,3,3,0.21999999999999886,0.07587687830990103,0.9400566102920218,,,
,,1 uM RDN stim,1 uM Soq unstim,3,3,23.046666666666667,7.948677827797855,1.1734188953838043e-08,,,
,,1 uM RDN stim,1 uM Soq stim,3,3,6.453333333333333,2.2257217637571083,0.03425997796972702,,,
,,1 uM RDN stim,10 uM Soq unstim,3,3,22.950000000000003,7.915337987328354,1.2744867161629259e-08,,,
,,1 uM RDN stim,10 uM Soq stim,3,3,7.329999999999998,2.528079627325351,0.017390023702899216,,,
