id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,13,28,110.34014591924672,2.0889293468811663,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,DMSO unstim,DMSO stim,3,3,-72.00666666666666,-13.539017757164935,8.215650382226158e-14,2,28,0.05
,,DMSO unstim,0.1 uM RDN unstim,3,3,4.206666666666667,0.7909564118851101,0.4356183513493739,,,
,,DMSO unstim,0.1 uM RDN stim,3,3,-70.51666666666667,-13.258861246774567,1.3655743202889425e-13,,,
,,DMSO unstim,1 uM RDN unstim,3,3,4.82,0.9062781074372973,0.3725220242024636,,,
,,DMSO unstim,1 uM RDN stim,3,3,-9.379999999999999,-1.7636698439339933,0.0886982191164416,,,
,,DMSO unstim,10 uM RDN unstim,3,3,4.3533333333333335,0.8185333390823722,0.41996476951345163,,,
,,DMSO unstim,10 uM RDN stim,3,3,4.300000000000001,0.8085053655560952,0.42561627508033917,,,
,,DMSO unstim,0.1 uM Soq unstim,3,3,-7.236666666666667,-1.3606706578467307,0.18447079334888938,,,
,,DMSO unstim,0.1 uM Soq stim,3,3,-86.60333333333332,-16.28354876163791,8.881784197001252e-16,,,
,,DMSO unstim,1 uM Soq unstim,3,3,-3.1000000000000005,-0.5828759612148594,0.5646420484597798,,,
,,DMSO unstim,1 uM Soq stim,3,3,-83.82666666666667,-15.761467389926109,1.9984014443252818e-15,,,
,,DMSO unstim,10 uM Soq unstim,3,3,-0.16999999999999993,-0.0319641656150084,0.9747273932994303,,,
,,DMSO unstim,10 uM Soq stim,3,3,-81.22,-15.271350183829313,4.218847493575595e-15,,,
,,DMSO stim,0.1 uM RDN unstim,3,3,76.21333333333334,14.329974169050047,2.020605904817785e-14,,,
,,DMSO stim,0.1 uM RDN stim,3,3,1.4899999999999949,0.2801565103903669,0.7814168799730576,,,
,,DMSO stim,1 uM RDN unstim,3,3,76.82666666666667,14.445295864602233,1.6653345369377348e-14,,,
,,DMSO stim,1 uM RDN stim,3,3,62.626666666666665,11.775347913230942,2.3234747459355276e-12,,,
,,DMSO stim,10 uM RDN unstim,3,3,76.36,14.357551096247308,1.9317880628477724e-14,,,
,,DMSO stim,10 uM RDN stim,3,3,76.30666666666667,14.347523122721032,1.9761969838327786e-14,,,
,,DMSO stim,0.1 uM Soq unstim,3,3,64.77,12.178347099318204,1.0509371151101732e-12,,,
,,DMSO stim,0.1 uM Soq stim,3,3,-14.596666666666664,-2.7445310044729765,0.010458427207997278,,,
,,DMSO stim,1 uM Soq unstim,3,3,68.90666666666667,12.956141795950076,2.391420395042587e-13,,,
,,DMSO stim,1 uM Soq stim,3,3,-11.820000000000007,-2.2224496327611742,0.03450456895689369,,,
,,DMSO stim,10 uM Soq unstim,3,3,71.83666666666666,13.507053591549925,8.704148513061227e-14,,,
,,DMSO stim,10 uM Soq stim,3,3,-9.213333333333338,-1.7323324266643783,0.09421825226586367,,,
,,0.1 uM RDN unstim,0.1 uM RDN stim,3,3,-74.72333333333334,-14.049817658659679,3.3084646133829665e-14,,,
,,0.1 uM RDN unstim,1 uM RDN unstim,3,3,0.6133333333333334,0.11532169555218721,0.909013212537314,,,
,,0.1 uM RDN unstim,1 uM RDN stim,3,3,-13.586666666666668,-2.554626255819104,0.016354588388899582,,,
,,0.1 uM RDN unstim,10 uM RDN unstim,3,3,0.14666666666666672,0.02757692719726217,0.9781951994004707,,,
,,0.1 uM RDN unstim,10 uM RDN stim,3,3,0.09333333333333327,0.017548953670985,0.9861231339607077,,,
,,0.1 uM RDN unstim,0.1 uM Soq unstim,3,3,-11.443333333333335,-2.151627069731841,0.040198035660457876,,,
,,0.1 uM RDN unstim,0.1 uM Soq stim,3,3,-90.81,-17.074505173523022,2.220446049250313e-16,,,
,,0.1 uM RDN unstim,1 uM Soq unstim,3,3,-7.3066666666666675,-1.3738323730999695,0.18039332367449967,,,
,,0.1 uM RDN unstim,1 uM Soq stim,3,3,-88.03333333333335,-16.55242380181122,6.661338147750939e-16,,,
,,0.1 uM RDN unstim,10 uM Soq unstim,3,3,-4.376666666666667,-0.8229205775001186,0.41750692039856574,,,
,,0.1 uM RDN unstim,10 uM Soq stim,3,3,-85.42666666666668,-16.062306595714425,1.1102230246251565e-15,,,
,,0.1 uM RDN stim,1 uM RDN unstim,3,3,75.33666666666667,14.165139354211865,2.708944180085382e-14,,,
,,0.1 uM RDN stim,1 uM RDN stim,3,3,61.13666666666667,11.495191402840575,4.0778491694482e-12,,,
,,0.1 uM RDN stim,10 uM RDN unstim,3,3,74.87,14.07739458585694,3.1530333899354446e-14,,,
,,0.1 uM RDN stim,10 uM RDN stim,3,3,74.81666666666668,14.067366612330664,3.219646771412954e-14,,,
,,0.1 uM RDN stim,0.1 uM Soq unstim,3,3,63.28,11.898190588927838,1.8209878049901818e-12,,,
,,0.1 uM RDN stim,0.1 uM Soq stim,3,3,-16.08666666666666,-3.0246875148633436,0.005284091303651373,,,
,,0.1 uM RDN stim,1 uM Soq unstim,3,3,67.41666666666667,12.67598528555971,4.0456527017340704e-13,,,
,,0.1 uM RDN stim,1 uM Soq stim,3,3,-13.310000000000002,-2.5026061431515414,0.018440241072096075,,,
,,0.1 uM RDN stim,10 uM Soq unstim,3,3,70.34666666666666,13.226897081159558,1.4499512701604544e-13,,,
,,0.1 uM RDN stim,10 uM Soq stim,3,3,-10.703333333333333,-2.012488937054745,0.05387662440650365,,,
,,1 uM RDN unstim,1 uM RDN stim,3,3,-14.200000000000001,-2.669947951371291,0.012486170585914502,,,
,,1 uM RDN unstim,10 uM RDN unstim,3,3,-0.4666666666666667,-0.08774476835492505,0.9307040814821874,,,
,,1 uM RDN unstim,10 uM RDN stim,3,3,-0.5200000000000001,-0.09777274188120222,0.9228093063943359,,,
,,1 uM RDN unstim,0.1 uM Soq unstim,3,3,-12.056666666666668,-2.2669487652840283,0.03130938722312138,,,
,,1 uM RDN unstim,0.1 uM Soq stim,3,3,-91.42333333333333,-17.18982686907521,2.220446049250313e-16,,,
