id	fdr.pvalue.R_0s_vs_D_0s	fdr.pvalue.R_150s_vs_D_150s	fdr.pvalue.R_600s_vs_D_600s	fdr.pvalue.S_0s_vs_D_0s	fdr.pvalue.S_150s_vs_D_150s	fdr.pvalue.S_600s_vs_D_600s	R_0s_vs_D_0s	R_150s_vs_D_150s	R_600s_vs_D_600s	S_0s_vs_D_0s	S_150s_vs_D_150s	S_600s_vs_D_600s
PERT-PSP_VIRUS_INFECTION	0.000371003717472119	0.00190752638298848	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-3.6677	-3.3448	-3.5645	-3.3767	-3.5402	-3.562
PERT-PSP_VANADATE	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-5.6324	-5.3748	-5.4973	-5.3449	-5.1986	-5.7942
PERT-PSP_UV	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-5.6963	-5.3177	-5.9257	-5.4675	-5.314	-5.7818
PERT-PSP_U0126	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	3.6005	3.4109	3.544	3.4464	3.5105	3.5421
PERT-PSP_TNF	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-5.5977	-5.0841	-5.5162	-5.378	-4.9896	-5.4271
PERT-PSP_THROMBIN	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-5.2154	-4.7603	-5.0012	-5.0267	-4.6068	-4.9869
PERT-PSP_SPHINGOSINE_1_PHOSPHATE	0.000371003717472119	0.00190752638298848	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.00372502497657863	-2.9048	-3.3909	-2.803	-2.6352	-3.5207	-2.8893
PERT-PSP_SORBITOL	0.855755857133212	0.20860196115586	0.000371003717472119	0.694622248661511	0.0232998647456081	0.0042665826297686	0.4223	-1.9783	-3.8933	-0.7523	-2.9458	-3.0142
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.000371003717472119	0.000699349702881489	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-4.7076	-4.2068	-4.5132	-4.4837	-4.2064	-4.5144
PERT-PSP_PHORBOL_ESTER	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-5.6239	-5.1107	-5.4189	-5.3603	-4.9925	-5.5052
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.000371003717472119	0.000699349702881489	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.00131642297012986	-3.6805	-3.4105	-3.5661	-3.4442	-3.4887	-3.6111
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.000371003717472119	0.000371003717472119	0.000699349702881489	0.000371003717472119	0.00131642297012986	0.000371003717472119	-3.6863	-3.3652	-3.5647	-3.3952	-3.5118	-3.5712
PERT-PSP_OKADAIC_ACID	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-4.6877	-4.2303	-4.5521	-4.3983	-4.1642	-4.5122
PERT-PSP_LPS	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-4.1981	-3.8519	-4.0375	-3.8507	-4.0823	-4.1662
PERT-PSP_LPA	0.000371003717472119	0.00131642297012986	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000699349702881489	-3.6345	-3.3706	-3.533	-3.5006	-3.4732	-3.5802
PERT-PSP_INSULIN	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-5.1597	-4.6251	-5.0748	-4.9706	-4.621	-5.0781
PERT-PSP_IMATINIB	0.975277687992581	0.165463126768586	0.0410100470506051	0.115875701636517	0.222133314103293	0.29853648322228	0.1787	2.047	2.2454	2.1442	1.7577	1.6556
PERT-PSP_IL_2	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-5.2175	-4.7395	-5.0566	-4.9313	-4.6272	-5.0379
PERT-PSP_IL_1B	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-4.7342	-4.2839	-4.6106	-4.3624	-4.1353	-4.5946
PERT-PSP_IL_1A	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-4.723	-4.2242	-4.6724	-4.4323	-4.1321	-4.5554
PERT-PSP_HGF	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-3.6087	-3.8154	-3.5139	-3.5	-4.1048	-3.5609
PERT-PSP_HEREGULIN	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000699349702881489	0.000371003717472119	-3.5928	-3.3644	-3.5073	-3.4963	-3.4833	-3.5877
PERT-PSP_H2O2	0.383725370263648	0.0463005831216138	0.000699349702881489	0.485968153377544	0.000371003717472119	0.00487093011337846	-1.4004	-2.6664	-3.7937	-1.2002	-3.794	-3.1922
PERT-PSP_GEFITINIB	0.0335641204577231	0.161847547055425	0.181498763841254	0.0457879116625168	0.25656736039677	0.542742283384742	2.8467	1.8353	1.872	2.4058	1.669	1.0944
PERT-PSP_FIBRONECTIN	0.000371003717472119	0.00190752638298848	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-3.6686	-3.4186	-3.5516	-3.4823	-3.4935	-3.5731
PERT-PSP_FGF2	0.00131642297012986	0.0204449873822664	0.344222638828041	0.223353585281296	0.670443835483239	0.0915235767884212	-3.3998	-2.7274	-1.5335	-1.719	-0.7944	-2.1794
PERT-PSP_FGF1	0.000371003717472119	0.00131642297012986	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-3.5835	-3.3854	-3.5204	-3.4848	-3.5237	-3.5646
PERT-PSP_ETOPOSIDE	0.0648491135619102	0.0285969249914037	0.00307966900038511	0.209356980787853	0.00592149568199551	0.195701806399201	-2.5987	-2.7589	-3.3123	-1.9417	-3.2413	-1.9891
PERT-PSP_ERLOTINIB	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	5.2835	4.7103	5.0865	3.8405	4.6215	4.606
PERT-PSP_EGF	1	0.00131852132721458	0.000371003717472119	0.0124458230307812	0.202199461968055	0.000371003717472119	0.0263	-4.2037	-6.0071	-3.3984	-1.9895	-4.7068
PERT-PSP_DASATINIB	0.000371003717472119	0.00131642297012986	0.000371003717472119	0.000371003717472119	0.000699349702881489	0.000371003717472119	3.6268	3.4164	3.5443	3.4232	3.5102	3.4902
PERT-PSP_CYCLIC_STRETCH	0.000371003717472119	0.00131642297012986	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000699349702881489	-3.6537	-3.4369	-3.5539	-3.4622	-3.4361	-3.6263
PERT-PSP_CXCL12	0.000371003717472119	0.000699349702881489	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-3.6798	-3.4822	-3.5149	-3.4196	-3.4624	-3.5826
PERT-PSP_CISPLATIN	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	0.000371003717472119	-4.1422	-3.7739	-4.0066	-3.8251	-4.1785	-4.1023
PERT-PSP_BACTERIAL_INFECTION	0.000371003717472119	0.000371003717472119	0.000699349702881489	0.000371003717472119	0.000371003717472119	0.000371003717472119	-3.6378	-3.4158	-3.5664	-3.4371	-3.4975	-3.6349
PERT-PSP_ARSENITE	0.0189464591668684	0.0300698566760556	0.000371003717472119	0.499038450503563	0.3094504398527	0.199728219685557	-2.811	-2.6971	-3.6138	-1.1795	1.586	-1.9773
