id	fdr.pvalue.D_150s_vs_D_0s	fdr.pvalue.D_600s_vs_D_0s	fdr.pvalue.R_150s_vs_R_0s	fdr.pvalue.R_600s_vs_R_0s	fdr.pvalue.S_150s_vs_S_0s	fdr.pvalue.S_600s_vs_S_0s	D_150s_vs_D_0s	D_600s_vs_D_0s	R_150s_vs_R_0s	R_600s_vs_R_0s	S_150s_vs_S_0s	S_600s_vs_S_0s
PERT-PSP_VIRUS_INFECTION	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000716088555563568	0.000381923076923077	3.5826	3.4934	3.4531	3.6223	3.3377	3.4021
PERT-PSP_VANADATE	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	5.4596	5.4594	5.4217	5.4554	5.0052	5.2882
PERT-PSP_UV	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	5.7405	5.7324	4.8143	4.8267	4.5959	5.1085
PERT-PSP_U0126	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000716088555563568	0.000381923076923077	-3.5285	-3.5706	-3.461	-3.5997	-3.2733	-3.4574
PERT-PSP_TNF	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	5.4046	5.5074	5.4096	5.3689	5.0381	5.1995
PERT-PSP_THROMBIN	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	5.0766	5.0709	4.951	5.022	4.8159	4.8872
PERT-PSP_SPHINGOSINE_1_PHOSPHATE	0.00540955742956135	0.00195595650803656	0.0107186033792925	0.00195595650803656	0.0316436982165059	0.00255848706585592	2.9266	2.8342	2.7792	2.8733	2.4631	2.7385
PERT-PSP_SORBITOL	0.647718515967299	0.000381923076923077	0.0826049947457099	0.190697509969612	0.92926159289838	0.0665877721718401	0.8881	3.9021	-2.4141	-2.0031	0.2503	2.4074
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	4.5433	4.5563	4.4663	4.4847	4.0765	4.4986
PERT-PSP_PHORBOL_ESTER	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	5.4002	5.441	5.2683	5.4486	5.0693	5.2427
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.000381923076923077	0.000381923076923077	0.000719588160781938	0.000381923076923077	0.00136555849692302	0.000716088555563568	3.5235	3.5635	3.4132	3.5186	3.2943	3.4751
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.00195595650803656	0.000716088555563568	3.5605	3.5438	3.4766	3.674	3.3007	3.4438
PERT-PSP_OKADAIC_ACID	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	4.6886	4.5834	4.4453	4.5445	4.0991	4.4769
PERT-PSP_LPS	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000716088555563568	0.000381923076923077	4.1439	4.1697	4.0462	4.1564	3.6103	3.9179
PERT-PSP_LPA	0.000381923076923077	0.000381923076923077	0.000716088555563568	0.000381923076923077	0.00136555849692302	0.000381923076923077	3.5944	3.5276	3.4587	3.602	3.2854	3.4783
PERT-PSP_INSULIN	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	0.000381923076923077	4.9543	5.1708	4.8358	5.0696	4.6089	4.9434
PERT-PSP_IMATINIB	0.0714482280445111	0.625932791534659	0.820219803972528	0.577092241126243	0.015174591854927	0.394564589462165	-2.0845	-1.0024	-0.5061	1.0944	-2.9664	-1.4885
