id	fdr.pvalue.R_0s_vs_D_0s	fdr.pvalue.R_150s_vs_D_150s	fdr.pvalue.R_600s_vs_D_600s	fdr.pvalue.S_0s_vs_D_0s	fdr.pvalue.S_150s_vs_D_150s	fdr.pvalue.S_600s_vs_D_600s	R_0s_vs_D_0s	R_150s_vs_D_150s	R_600s_vs_D_600s	S_0s_vs_D_0s	S_150s_vs_D_150s	S_600s_vs_D_600s
PERT-PSP_VIRUS_INFECTION	0.00299119717993381	0.00099047619047619	0.0259325976019226	0.636694343537516	0.00961577974111362	0.242056263914187	-2.8813	-3.5887	-2.8092	-0.9097	-2.9991	1.7803
PERT-PSP_VANADATE	0.243448488975303	0.00099047619047619	0.00099047619047619	0.177643070787637	0.00099047619047619	0.905681850513557	-2.0331	-4.802	-4.1919	-2.154	-4.1725	-0.3519
PERT-PSP_UV	0.0602906972683397	0.00099047619047619	0.00099047619047619	0.183767242765034	0.00099047619047619	0.695461988123753	-2.6062	-4.7808	-4.0637	-2.1147	-4.3113	0.7566
PERT-PSP_U0126	0.00299119717993381	0.00171721299633028	0.0198823807876482	0.636949615526962	0.00299119717993381	0.247726468690821	2.8798	3.6885	2.8252	0.8997	2.9356	-1.7799
PERT-PSP_TNF	0.55801247779111	0.00099047619047619	0.00099047619047619	0.123067907113032	0.00099047619047619	0.904823194372963	-1.0997	-4.8323	-4.1243	-2.3551	-4.1887	-0.3526
PERT-PSP_THROMBIN	0.112379985119926	0.00099047619047619	0.00099047619047619	0.182499424801601	0.00099047619047619	0.695461988123753	-2.3875	-4.6135	-4.1604	-2.1414	-4.2417	0.7566
PERT-PSP_SPHINGOSINE_1_PHOSPHATE	0.00299119717993381	0.00542854160141977	0.247723997626515	0.636694343537516	0.0979643765903308	0.201102005951208	-2.8779	-2.961	-1.7866	-0.9116	-2.0796	1.8639
PERT-PSP_SORBITOL	0.0458963666623034	0.177903113671048	0.519625603864734	0.607263118557298	0.60360824827609	0.737113007065226	2.8168	1.9308	-1.2389	-0.9874	1.0423	0.6655
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.0577973445871432	0.00099047619047619	0.00171721299633028	0.477675121659255	0.00099047619047619	0.260974389673864	-2.6275	-4.2471	-3.525	-1.3201	-3.69	1.7546
PERT-PSP_PHORBOL_ESTER	0.0458963666623034	0.00099047619047619	0.00099047619047619	0.122537004113321	0.00099047619047619	0.909750951640315	-2.6302	-4.8274	-3.5375	-2.3414	-4.2859	-0.3523
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.00709054650614457	0.00099047619047619	0.0229887011893932	0.636772915541149	0.00710979448250324	0.242056263914187	-2.9294	-3.6389	-2.7874	-0.9019	-2.9596	1.8135
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.00421449339965757	0.00099047619047619	0.242056263914187	0.636694343537516	0.00631627534101813	0.242056263914187	-2.8819	-3.5891	-1.7962	-0.9071	-3.0423	1.8002
PERT-PSP_OKADAIC_ACID	0.0646092184368738	0.00099047619047619	0.00171721299633028	0.456334424971087	0.00099047619047619	0.269403128483032	-2.603	-4.2419	-3.5547	-1.3648	-3.6519	1.7536
