id	fdr.pvalue.D_150s_vs_D_0s	fdr.pvalue.D_600s_vs_D_0s	fdr.pvalue.R_150s_vs_R_0s	fdr.pvalue.R_600s_vs_R_0s	fdr.pvalue.S_150s_vs_S_0s	fdr.pvalue.S_600s_vs_S_0s	D_150s_vs_D_0s	D_600s_vs_D_0s	R_150s_vs_R_0s	R_600s_vs_R_0s	S_150s_vs_S_0s	S_600s_vs_S_0s
PERT-PSP_VIRUS_INFECTION	0.013003190634231	0.00522541581373168	0.0130194600637148	0.000876595744680851	0.15407542195795	0.00135504920275746	2.8887	2.9456	2.6371	2.866	2.1516	3.1623
PERT-PSP_VANADATE	0.000876595744680851	0.000876595744680851	0.671553497942387	0.378442092743844	0.025558229207819	0.000876595744680851	4.1264	4.1922	-0.8269	1.484	3.1457	4.589
PERT-PSP_UV	0.000876595744680851	0.000876595744680851	0.830855552716018	0.0547011801486521	0.0322295058538585	0.000876595744680851	4.0603	4.207	0.4821	2.5896	3.1254	4.5202
PERT-PSP_U0126	0.0105706075533662	0.00527308703409332	0.0154928820843406	0.000876595744680851	0.156227895546659	0.00135504920275746	-2.8687	-2.9282	-2.6199	-2.8329	-2.1769	-3.1829
PERT-PSP_TNF	0.000876595744680851	0.000876595744680851	0.51255950220932	0.479828478893138	0.0043901535887774	0.000876595744680851	4.0841	4.2126	1.1686	1.2453	3.6751	4.3566
PERT-PSP_THROMBIN	0.000876595744680851	0.000876595744680851	0.789294905979735	1	0.022815142972211	0.000876595744680851	3.9558	4.18	0.5779	0.0496	3.1602	4.53
PERT-PSP_SPHINGOSINE_1_PHOSPHATE	0.15544590709822	0.074289613525716	NA	NA	0.152113012106677	0.00135504920275746	1.8537	1.922	NA	NA	2.1726	3.1718
PERT-PSP_SORBITOL	0.386569285671082	0.798936095423336	0.0463576158940397	0.0416552240498529	0.353962564715253	0.51255950220932	-1.4656	0.5596	-2.4884	-2.3727	-1.5311	1.174
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.00135504920275746	0.000876595744680851	0.0869694203560018	0.0647757686851304	0.033803444224024	0.000876595744680851	3.5798	3.5953	2.3199	2.5082	2.9799	3.8548
PERT-PSP_PHORBOL_ESTER	0.000876595744680851	0.000876595744680851	0.238887978118502	0.0519719141675963	0.0077037784976697	0.000876595744680851	4.1512	4.1791	1.84	2.5176	3.6892	4.3616
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.0125148842069452	0.000876595744680851	0.0109906120145693	0.000876595744680851	0.152113012106677	0.00135504920275746	2.8365	2.9559	2.6999	2.8523	2.1788	3.1732
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.0125148842069452	0.00688871054039593	0.0104606250773597	NA	0.156227895546659	0.000876595744680851	2.8942	2.9727	2.6085	NA	2.179	3.2384
PERT-PSP_OKADAIC_ACID	0.00241350626222863	0.000876595744680851	0.0801992551385123	0.0615087737480968	0.0334504831961991	0.00135504920275746	3.5805	3.6324	2.3152	2.4626	2.9698	3.8134
PERT-PSP_LPS	0.000876595744680851	0.000876595744680851	0.614976499875285	0.358456949060976	0.0318393304830677	0.000876595744680851	3.5757	3.6393	0.9445	1.536	3.0115	3.8085
PERT-PSP_LPA	0.0104460267489277	0.0077037784976697	0.0149379819946557	0.000876595744680851	0.156227895546659	0.000876595744680851	2.8842	2.934	2.6381	2.877	2.168	3.1413
PERT-PSP_INSULIN	0.000876595744680851	0.000876595744680851	0.0930073780420658	0.502138046876484	0.00527308703409332	0.000876595744680851	4.1091	4.2165	2.3081	1.1896	3.6436	4.2942
PERT-PSP_IL_2	0.000876595744680851	0.000876595744680851	0.522820653685203	0.229485454851185	0.00787943696450428	0.000876595744680851	4.1485	4.187	1.1318	1.8915	3.6176	4.3022
PERT-PSP_IL_1B	0.00135504920275746	0.00135504920275746	0.0869694203560018	0.0596421766350746	0.0345454545454545	0.000876595744680851	3.5155	3.6245	2.2797	2.5057	2.9672	3.845
PERT-PSP_IL_1A	0.00135504920275746	0.000876595744680851	0.0876571568160059	0.0615087737480968	0.0316148834878477	0.000876595744680851	3.5606	3.6051	2.3193	2.4913	2.9419	3.7416
PERT-PSP_HGF	0.0136162866652151	0.00850036621723387	0.0164336428370752	0.00135504920275746	0.037864166896425	0.000876595744680851	2.9008	2.9626	2.5591	2.8952	2.935	3.8077
PERT-PSP_HEREGULIN	0.0111435912906884	0.0043901535887774	0.0165528324628365	0.000876595744680851	0.156227895546659	0.000876595744680851	2.8883	2.971	2.5568	2.862	2.2016	3.1482
PERT-PSP_H2O2	0.989379372190192	0.905192275910341	0.0520055800201963	NA	0.661794274566014	0.421586818136731	-0.1616	-0.3442	-2.4539	NA	0.8589	-1.3917
