id	fdr.pvalue.R_0s_vs_D_0s	fdr.pvalue.R_150s_vs_D_150s	fdr.pvalue.R_600s_vs_D_600s	fdr.pvalue.S_0s_vs_D_0s	fdr.pvalue.S_150s_vs_D_150s	fdr.pvalue.S_600s_vs_D_600s	R_0s_vs_D_0s	R_150s_vs_D_150s	R_600s_vs_D_600s	S_0s_vs_D_0s	S_150s_vs_D_150s	S_600s_vs_D_600s
PERT-PSP_VIRUS_INFECTION	0.000485263157894737	0.000910194773784021	0.000485263157894737	0.000485263157894737	0.0482248482781785	0.0338816244667956	-3.4878	-3.555	-3.1952	-3.6058	-2.5752	-2.9499
PERT-PSP_VANADATE	0.000485263157894737	0.000485263157894737	0.00171768488865788	0.000485263157894737	0.00943678472226596	0.0269238094028922	-4.0481	-4.6942	-4.0663	-4.7537	-3.1182	-3.0618
PERT-PSP_UV	0.00598563803931402	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.00250830888654119	-3.5796	-5.9283	-4.73	-5.5291	-3.9661	-4.1963
PERT-PSP_U0126	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0440829362699291	0.0282674678848453	3.4988	3.5415	3.2377	3.6853	2.5995	2.9023
PERT-PSP_TNF	0.0685101176826945	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.00460007151231924	-2.6317	-5.555	-4.5109	-5.2225	-4.0296	-3.8481
PERT-PSP_THROMBIN	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0080524273201344	-3.9814	-5.1954	-4.589	-4.8023	-3.3504	-3.4966
PERT-PSP_SORBITOL	0.000485263157894737	0.088744289199379	0.000485263157894737	0.016319632464098	0.0326446793067431	0.0278988138465263	4.1365	-2.4513	-3.8328	3.1785	2.9035	2.9329
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.00929046460074101	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.013204080375901	0.0306964975362898	-3.2733	-4.7077	-4.0499	-4.8377	-3.084	-2.9947
PERT-PSP_PHORBOL_ESTER	0.00736127744510978	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000910194773784021	0.0117266992266992	-3.3995	-5.077	-4.515	-4.788	-3.3485	-3.5276
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0464232216809536	0.0288218247079938	-3.5149	-3.5727	-3.1889	-3.6095	-2.6038	-2.9295
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.000485263157894737	0.000485263157894737	0.000910194773784021	0.000485263157894737	0.0461659307198092	0.0285333016434191	-2.9747	-3.4817	-3.2765	-3.5775	-2.5825	-2.9811
PERT-PSP_OKADAIC_ACID	0.0125551950541791	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.016319632464098	0.0322192410431363	-3.2544	-4.5919	-4.0573	-4.8162	-3.1211	-3.0186
PERT-PSP_LPS	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.00992891762644409	0.00736127744510978	-4.1474	-4.2303	-3.8584	-4.2573	-3.244	-3.349
PERT-PSP_LPA	0.000918286449597826	0.000485263157894737	0.000910194773784021	0.000485263157894737	0.0444800700637179	0.0322804419022662	-3.4983	-3.57	-3.1845	-3.6161	-2.5922	-2.9065
PERT-PSP_INSULIN	0.0128319323052942	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0103780444702582	-3.2965	-5.1495	-4.573	-4.7853	-3.3871	-3.5279
PERT-PSP_IMATINIB	NA	0.222652430935744	0.00248295326015533	0.189119647678084	0.887417900656795	0.10631228668359	NA	1.8823	3.0263	1.9787	0.3719	2.3138
PERT-PSP_IL_2	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0127888146419444	0.0316877460060199	-3.9959	-4.6299	-4.0532	-4.7255	-3.0866	-2.9519
PERT-PSP_IL_1B	0.0121025699365337	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0111139572377838	0.0278680950468714	-3.2506	-4.6354	-4.0503	-4.7181	-3.152	-2.9371
PERT-PSP_IL_1A	0.0126776668114054	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.013420213772458	0.0312422850338127	-3.2595	-4.6104	-4.0587	-4.7815	-3.1613	-2.9527
PERT-PSP_HGF	0.000485263157894737	0.000485263157894737	0.00171117198577611	0.000485263157894737	0.0463117449369022	0.0323213910117086	-3.5034	-3.5644	-3.2161	-3.5693	-2.5775	-2.9332
PERT-PSP_HEREGULIN	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0415631993834019	0.0293625717850085	-3.4832	-3.5927	-3.252	-3.6083	-2.6299	-2.8754
PERT-PSP_H2O2	0.000485263157894737	0.0366535219604201	0.00171117198577611	0.192622370356547	0.236521287421102	0.0883428197673503	3.5311	-2.6031	-3.7103	1.9873	1.8335	2.423
PERT-PSP_GEFITINIB	0.0187964287969023	0.0383782883782884	0.0563981692596236	0.81849397943302	0.177024138165181	0.329048822724214	2.4896	2.2825	2.2606	-0.5783	1.8196	1.5233
PERT-PSP_FIBRONECTIN	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0427962066343884	0.0330935051883002	-3.5095	-3.5439	-3.2933	-3.5947	-2.5902	-2.8649
PERT-PSP_FGF2	NA	0.0261246942476383	0.0111139572377838	0.0322804419022662	0.0288218247079938	0.131911305730308	NA	-2.7538	-3.1547	2.2516	2.7182	2.0672
PERT-PSP_FGF1	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0356167911408705	0.0326446793067431	-2.956	-3.5791	-3.2594	-3.592	-2.5761	-2.862
PERT-PSP_ETOPOSIDE	0.237103757070608	0.328774263604413	0.145795184647546	0.113651891491653	0.0357553140069467	1	1.8277	-1.5865	-2.133	2.2452	2.2839	-0.016
PERT-PSP_ERLOTINIB	0.000910194773784021	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0125551950541791	0.0121114463238739	3.4893	4.2005	3.8873	4.3111	3.2131	3.3212
PERT-PSP_EGF	0.000485263157894737	0.0413020755562192	0.000485263157894737	0.000485263157894737	0.0714551626880936	0.755695172801924	4.3103	-3.0094	-4.807	5.6726	2.5363	-0.6875
PERT-PSP_DASATINIB	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0117266992266992	0.0103780444702582	3.9143	4.1231	3.8877	4.2653	3.2069	3.3146
PERT-PSP_CYCLIC_STRETCH	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0463117449369022	0.0338900308472335	-3.5176	-3.5484	-3.2854	-3.6328	-2.5824	-2.9325
PERT-PSP_CXCL12	0.000485263157894737	0.00871704124837107	0.0277291148186856	0.00171768488865788	0.223586738632128	0.10070588032931	-2.9696	-2.813	-2.328	-2.8988	-1.7356	-2.3444
PERT-PSP_CISPLATIN	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0125545562045365	0.0125551950541791	-4.0265	-4.1733	-3.8853	-4.275	-3.2155	-3.3449
PERT-PSP_BACTERIAL_INFECTION	0.000485263157894737	0.000485263157894737	0.00171117198577611	0.000485263157894737	0.0463117449369022	0.0338079480969574	-3.5758	-3.5171	-3.2849	-3.5843	-2.6487	-2.8539
PERT-PSP_ARSENITE	NA	0.408850797478705	NA	0.000485263157894737	0.00672556330037283	0.543882827692828	NA	-1.384	NA	3.5763	3.2423	1.0509
PERT-PSP_ANTI_IGM	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0463117449369022	0.0316877460060199	-3.5259	-3.6012	-3.2167	-3.6187	-2.5907	-2.8769
PERT-PSP_ANTI_CD3	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	-4.779	-7.7066	-6.6142	-7.0004	-7.0399	-6.2498
PERT-PSP_ANISOMYCIN	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.000485263157894737	0.0117110857074545	0.0278164326631896	-3.9555	-4.7159	-3.8688	-4.7676	-3.1774	-3.0529
PERT-P100-DIA2_SOTRASTAURIN	0.133683368110007	0.934482797665897	0.991870721803889	0.409803703533285	0.0269238094028922	0.993464399955873	2.169	0.2684	-0.1402	-1.3783	-2.7739	-0.1375
