id	fdr.pvalue.D_150s_vs_D_0s	fdr.pvalue.D_600s_vs_D_0s	fdr.pvalue.R_150s_vs_R_0s	fdr.pvalue.R_600s_vs_R_0s	fdr.pvalue.S_150s_vs_S_0s	fdr.pvalue.S_600s_vs_S_0s	D_150s_vs_D_0s	D_600s_vs_D_0s	R_150s_vs_R_0s	R_600s_vs_R_0s	S_150s_vs_S_0s	S_600s_vs_S_0s
PERT-PSP_VIRUS_INFECTION	0.00119516351920616	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	3.3958	3.485	3.534	3.4158	3.6316	3.4224
PERT-PSP_VANADATE	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	4.4871	4.3766	4.1128	4.0504	4.6645	4.5256
PERT-PSP_UV	0.000335294117647059	0.000335294117647059	0.00276472717417599	0.00062712824772666	0.000335294117647059	0.000335294117647059	5.4215	5.5703	3.5877	3.8774	5.4427	5.2799
PERT-PSP_U0126	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	-3.3067	-3.5442	-3.5819	-3.4614	-3.521	-3.4679
PERT-PSP_TNF	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	5.1673	5.3141	4.0117	4.0001	4.9136	5.0887
PERT-PSP_THROMBIN	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	5.0087	4.9395	4.0587	3.9058	4.4755	4.582
PERT-PSP_SORBITOL	0.00062712824772666	0.00062712824772666	0.505693488858294	0.125783268750038	0.00917302518167518	0.00854666931269432	3.8119	3.7282	-1.1512	2.2445	3.369	3.4717
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	4.4723	4.4395	4.0152	3.9878	4.5926	4.5844
PERT-PSP_PHORBOL_ESTER	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	5.0636	4.9883	4.0648	3.9246	4.4591	4.6657
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.00062712824772666	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	3.4123	3.5509	3.514	3.3913	3.6002	3.4669
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.000335294117647059	0.00062712824772666	0.00062712824772666	0.000335294117647059	0.000335294117647059	0.000335294117647059	3.3472	3.4842	2.96	3.0102	3.5193	3.5314
PERT-PSP_OKADAIC_ACID	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	4.5266	4.435	3.9672	3.9698	4.6147	4.6401
PERT-PSP_LPS	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	3.9574	4.1244	3.9864	3.9885	4.2056	4.128
PERT-PSP_LPA	0.00062712824772666	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	3.3426	3.5365	3.5519	3.3577	3.5167	3.4032
PERT-PSP_INSULIN	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	4.9208	4.8647	3.991	3.9825	4.5423	4.6553
PERT-PSP_IMATINIB	0.752040353111289	0.380154207173986	NA	NA	0.0694536934270564	0.631965352776712	-0.6682	-1.4511	NA	NA	-2.3131	-0.8774
PERT-PSP_IL_2	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	4.5204	4.4171	3.9917	3.9487	4.6043	4.5698
PERT-PSP_IL_1B	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	4.5024	4.4387	4.0059	4.0401	4.643	4.5963
PERT-PSP_IL_1A	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	4.4402	4.4502	4.0328	3.9385	4.5923	4.6134
PERT-PSP_HGF	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	3.3306	3.5308	3.4918	3.4062	3.5473	3.4613
PERT-PSP_HEREGULIN	0.00062712824772666	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	3.3567	3.5034	3.4759	3.3641	3.5793	3.4741
PERT-PSP_H2O2	0.00175675042265386	0.00373345996530876	0.689355383638731	0.200352223767745	0.00119516351920616	0.008132500911228	3.8226	3.329	-0.7818	1.9337	3.1148	3.2901
PERT-PSP_GEFITINIB	0.932652475825627	0.567001999387575	0.997308968020527	1	0.60937940185601	0.218839218067583	0.2505	1	-0.1377	0.0538	0.9085	1.8068
PERT-PSP_FIBRONECTIN	0.00119516351920616	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	3.3373	3.5889	3.4992	3.3528	3.5055	3.4929
PERT-PSP_FGF2	0.700914511516006	0.882205365314724	NA	NA	0.807705734048743	0.508468112028943	-0.7618	-0.3619	NA	NA	0.5281	-1.1401
PERT-PSP_FGF1	0.00062712824772666	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	3.3383	3.561	3.006	3.0109	3.5489	3.4801
PERT-PSP_ETOPOSIDE	0.946132458621844	0.418839118536656	0.508468112028943	0.8852023089117	0.642548836381436	0.863784689133385	0.2408	1.339	-1.1585	0.357	-0.9014	0.4054
PERT-PSP_ERLOTINIB	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	-3.9278	-4.1557	-3.6045	-3.3482	-4.2424	-4.0741
PERT-PSP_EGF	0.000335294117647059	0.000335294117647059	0.301911262752139	0.0279024231051644	0.000335294117647059	0.000335294117647059	6.537	6.2867	1.5981	2.6983	5.9591	5.4926
PERT-PSP_DASATINIB	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	-3.9292	-4.1882	-4.0137	-3.9739	-4.2127	-4.0929
PERT-PSP_CYCLIC_STRETCH	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	3.3706	3.5385	3.5149	3.3326	3.524	3.5329
PERT-PSP_CXCL12	0.0104915906219905	0.00175055152610216	0.00062712824772666	0.000335294117647059	0.000335294117647059	0.00227428869252091	2.5593	2.7826	2.9712	3.0001	3.4866	2.6814
PERT-PSP_CISPLATIN	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	3.9794	4.1025	4.0543	3.9491	4.1886	4.0877
PERT-PSP_BACTERIAL_INFECTION	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	3.3248	3.5274	3.596	3.3738	3.5036	3.4713
PERT-PSP_ARSENITE	0.00762118689958083	0.00062712824772666	NA	NA	0.00427818524260641	0.0101679419951613	3.1671	3.4467	NA	NA	3.2873	3.2237
PERT-PSP_ANTI_IGM	0.00062712824772666	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	3.338	3.5059	3.4881	3.4098	3.5391	3.4813
PERT-PSP_ANTI_CD3	0.000335294117647059	0.000335294117647059	0.00276472717417599	0.0171576030778332	0.000335294117647059	0.000335294117647059	6.3966	6.5205	3.8159	3.2915	6.4981	6.2902
PERT-PSP_ANISOMYCIN	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	0.000335294117647059	4.5284	4.4002	4.0066	3.9023	4.5758	4.537
PERT-P100-DIA2_SOTRASTAURIN	0.379011097599498	0.643397260273973	0.523505792815981	0.489725721433038	0.790311603599355	1	1.4397	0.8436	1.1057	1.1848	0.5727	-0.0775
PERT-P100-DIA2_RGFP966	0.592590064920108	0.508468112028943	0.120922594258317	0.364626690883355	0.530433729059693	0.496633388357262	-1.0635	-1.1762	2.1982	1.4778	-1.1528	-1.2286
PERT-P100-DIA2_RESVERATROL	0.0120925140973256	0.178492904257446	0.61102487562189	0.664231707175251	0.0927052342014368	0.213702886563964	-1.9885	-1.7859	-0.9791	0.8028	-1.9123	-1.72
PERT-P100-DIA2_PAZOPANIB	0.0644629742117179	0.250239357354693	0.76185470245917	1	0.173137696297502	0.505182931780168	-1.9381	-1.6874	-0.6696	-0.029	-1.8042	-1.1911
PERT-P100-DIA2_LOSMAPIMOD	0.0126316664242827	0.185865851465564	0.597877718107623	0.660668274652815	0.104827067966541	0.216245544816714	-2.0092	-1.7809	-0.9904	0.8026	-1.9114	-1.7485
PERT-P100-DIA2_LENALIDOMIDE	0.0585386812728094	0.252418626672025	0.764410593733772	1	0.173707289034471	0.505182931780168	-1.9629	-1.6759	-0.6738	-0.0292	-1.7991	-1.1924
