id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,6,21,41.73600558785854,2.5727116405095254,1.3276724164512643e-10,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,DMSO,0.1 $\mu$M RDN,4,4,0.37821667717846663,8.545920745932898,2.8127462137206294e-08,2,21,0.05
,,DMSO,1 $\mu$M RDN,4,4,0.501060503083046,11.321614319625697,2.1131763006110305e-10,,,
,,DMSO,10 $\mu$M RDN,4,4,0.6621626580240738,14.961766463089694,1.1302070390684094e-12,,,
,,DMSO,0.1 $\mu$M Soq,4,4,0.39977033943410845,9.032932293904393,1.1147560430302406e-08,,,
,,DMSO,1 $\mu$M Soq,4,4,0.4047171959200979,9.144708019359307,9.052783189744673e-09,,,
,,DMSO,10 $\mu$M Soq,4,4,0.47665552663711164,10.770176461122961,5.203328878877755e-10,,,
,,0.1 $\mu$M RDN,1 $\mu$M RDN,4,4,0.12284382590457926,2.7756935736927972,0.011329812795204619,,,
,,0.1 $\mu$M RDN,10 $\mu$M RDN,4,4,0.28394598084560724,6.415845717156797,2.329143352852725e-06,,,
,,0.1 $\mu$M RDN,0.1 $\mu$M Soq,4,4,0.021553662255641814,0.487011547971495,0.6312948042950086,,,
,,0.1 $\mu$M RDN,1 $\mu$M Soq,4,4,0.026500518741631285,0.598787273426409,0.5557195011749374,,,
,,0.1 $\mu$M RDN,10 $\mu$M Soq,4,4,0.098438849458645,2.224255715190064,0.037230537258196694,,,
,,1 $\mu$M RDN,10 $\mu$M RDN,4,4,0.16110215494102798,3.640152143464,0.0015307793493646304,,,
,,1 $\mu$M RDN,0.1 $\mu$M Soq,4,4,-0.10129016364893745,-2.288682025721302,0.032564338307923935,,,
,,1 $\mu$M RDN,1 $\mu$M Soq,4,4,-0.09634330716294798,-2.176906300266388,0.04104057429463315,,,
,,1 $\mu$M RDN,10 $\mu$M Soq,4,4,-0.024404976445934257,-0.5514378585027334,0.5871538192359558,,,
,,10 $\mu$M RDN,0.1 $\mu$M Soq,4,4,-0.2623923185899654,-5.928834169185302,6.945988268114434e-06,,,
,,10 $\mu$M RDN,1 $\mu$M Soq,4,4,-0.25744546210397595,-5.817058443730388,8.961045637079224e-06,,,
,,10 $\mu$M RDN,10 $\mu$M Soq,4,4,-0.18550713138696223,-4.191590001966733,0.0004109513081507199,,,
,,0.1 $\mu$M Soq,1 $\mu$M Soq,4,4,0.00494685648598947,0.11177572545491402,0.9120627390494411,,,
,,0.1 $\mu$M Soq,10 $\mu$M Soq,4,4,0.07688518720300319,1.7372441672185688,0.09699050698128242,,,
,,1 $\mu$M Soq,10 $\mu$M Soq,4,4,0.07193833071701372,1.6254684417636547,0.11897731051537086,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,DMSO,0.1 $\mu$M RDN,4,4,0.37821667717846663,8.545920745932898,4.500392992712321e-07,2,21,0.05,True
,,DMSO,1 $\mu$M RDN,4,4,0.501060503083046,11.321614319625697,4.226352601222061e-09,,,,True
,,DMSO,10 $\mu$M RDN,4,4,0.6621626580240738,14.961766463089694,2.3734347820436597e-11,,,,True
,,DMSO,0.1 $\mu$M Soq,4,4,0.39977033943410845,9.032932293904393,1.8950851043975092e-07,,,,True
,,DMSO,1 $\mu$M Soq,4,4,0.4047171959200979,9.144708019359307,1.6295008486988394e-07,,,,True
,,DMSO,10 $\mu$M Soq,4,4,0.47665552663711164,10.770176461122961,9.886324869867735e-09,,,,True
,,0.1 $\mu$M RDN,1 $\mu$M RDN,4,4,0.12284382590457926,2.7756935736927972,0.10769282638035271,,,,False
,,0.1 $\mu$M RDN,10 $\mu$M RDN,4,4,0.28394598084560724,6.415845717156797,3.493658068309813e-05,,,,True
,,0.1 $\mu$M RDN,0.1 $\mu$M Soq,4,4,0.021553662255641814,0.487011547971495,0.9610390979658329,,,,False
,,0.1 $\mu$M RDN,1 $\mu$M Soq,4,4,0.026500518741631285,0.598787273426409,0.9610390979658329,,,,False
,,0.1 $\mu$M RDN,10 $\mu$M Soq,4,4,0.098438849458645,2.224255715190064,0.2617924978631283,,,,False
,,1 $\mu$M RDN,10 $\mu$M RDN,4,4,0.16110215494102798,3.640152143464,0.01671028220069115,,,,True
,,1 $\mu$M RDN,0.1 $\mu$M Soq,4,4,-0.10129016364893745,-2.288682025721302,0.2576668909250286,,,,False
,,1 $\mu$M RDN,1 $\mu$M Soq,4,4,-0.09634330716294798,-2.176906300266388,0.2617924978631283,,,,False
,,1 $\mu$M RDN,10 $\mu$M Soq,4,4,-0.024404976445934257,-0.5514378585027334,0.9610390979658329,,,,False
,,10 $\mu$M RDN,0.1 $\mu$M Soq,4,4,-0.2623923185899654,-5.928834169185302,9.723944542106011e-05,,,,True
,,10 $\mu$M RDN,1 $\mu$M Soq,4,4,-0.25744546210397595,-5.817058443730388,0.00011648733006142109,,,,True
,,10 $\mu$M RDN,10 $\mu$M Soq,4,4,-0.18550713138696223,-4.191590001966733,0.004920284807582775,,,,True
,,0.1 $\mu$M Soq,1 $\mu$M Soq,4,4,0.00494685648598947,0.11177572545491402,0.9610390979658329,,,,False
,,0.1 $\mu$M Soq,10 $\mu$M Soq,4,4,0.07688518720300319,1.7372441672185688,0.45780701345725283,,,,False
,,1 $\mu$M Soq,10 $\mu$M Soq,4,4,0.07193833071701372,1.6254684417636547,0.4691944367454748,,,,False


