id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,48,147,312.3520466001549,1.4441595126823241,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,dmso0 min,dmso2.5 m,4,4,-4.453135100175639,-30.756532343145587,0.0,2,147,0.05
,,dmso0 min,dmso5 m,4,4,-4.483664765548737,-30.967392022753348,0.0,,,
,,dmso0 min,dmso7.5 m,4,4,-3.879100888231576,-26.791841982632313,0.0,,,
,,dmso0 min,dmso10 m,4,4,-3.543316381674619,-24.47267429426847,0.0,,,
,,dmso0 min,dmso15 m,4,4,-2.854211833123768,-19.713225982341655,0.0,,,
,,dmso0 min,dmso20 m,4,4,-2.6521185418367184,-18.317425336284966,0.0,,,
,,dmso0 min,01rdn0 min,4,4,-0.01251201202501915,-0.08641689368691055,0.931252615021394,,,
,,dmso0 min,_1rdn0 min,4,4,-0.013437148589671415,-0.09280654772445182,0.9261836124151142,,,
,,dmso0 min,10rdn0 min,4,4,0.00384851689611514,0.026580607083723774,0.9788302913414944,,,
,,dmso0 min,01soq0 min,4,4,-0.016356485398572224,-0.11296957331510855,0.9102088068243506,,,
,,dmso0 min,_1soq0 min,4,4,-0.014347785846221057,-0.09909605918186026,0.9211970078111809,,,
,,dmso0 min,10soq0 min,4,4,0.0011857467907833534,0.008189614440413199,0.9934768098323286,,,
,,dmso2.5 m,dmso5 m,4,4,-0.030529665373098425,-0.2108596796077618,0.8332887856349291,,,
,,dmso2.5 m,dmso7.5 m,4,4,0.5740342119440629,3.9646903605132717,0.00011435486062016942,,,
,,dmso2.5 m,dmso10 m,4,4,0.90981871850102,6.283858048877116,3.544580629011307e-09,,,
,,dmso2.5 m,dmso15 m,4,4,1.598923267051871,11.043306360803928,0.0,,,
,,dmso2.5 m,dmso20 m,4,4,1.8010165583389206,12.43910700686062,0.0,,,
,,dmso2.5 m,01rdn2.5 m,4,4,-1.4154298447767708,-9.775969697980473,0.0,,,
,,dmso2.5 m,01rdn5 m,4,4,-1.4130427105770273,-9.759482443816784,0.0,,,
,,dmso2.5 m,01rdn7.5 m,4,4,-0.9920352235898715,-6.8517039688910675,1.862929810414471e-10,,,
,,dmso2.5 m,01rdn15 m,4,4,-0.020834210253298124,-0.14389594007021825,0.8857797195224959,,,
,,dmso2.5 m,_1rdn2.5 m,4,4,-1.6421855481358225,-11.342106580753315,0.0,,,
,,dmso2.5 m,_1rdn5 m,4,4,-1.4229746109343537,-9.828079243082309,0.0,,,
,,dmso2.5 m,_1rdn7.5 m,4,4,-0.9428446612997909,-6.511958803739283,1.1025467205882933e-09,,,
,,dmso2.5 m,_1rdn15 m,4,4,0.18628265406275268,1.286601090189713,0.2002558773037375,,,
,,dmso2.5 m,10rdn2.5 m,4,4,-0.82674389294126,-5.7100839545027595,6.042101929892851e-08,,,
,,dmso2.5 m,10rdn5 m,4,4,-0.45357665504868727,-3.1327244171304187,0.0020906817053598648,,,
,,dmso2.5 m,10rdn7.5 m,4,4,0.402575540347069,2.780474283557123,0.006138719137063431,,,
,,dmso2.5 m,10rdn15 m,4,4,1.9170535016822572,13.240541034945311,0.0,,,
,,dmso2.5 m,01soq2.5 m,4,4,-1.2075117883429032,-8.339939062579361,4.907185768843192e-14,,,
,,dmso2.5 m,01soq5 m,4,4,-0.7068038946883455,-4.881692640851149,2.7102435136150405e-06,,,
,,dmso2.5 m,01soq7.5 m,4,4,-0.004114082629468996,-0.028414793759714556,0.9773698650677061,,,
,,dmso2.5 m,01soq15 m,4,4,1.130408398740156,7.807407970946971,1.0098588631990424e-12,,,
,,dmso2.5 m,_1soq2.5 m,4,4,-0.7264693670279048,-5.017516441937048,1.490564397244043e-06,,,
,,dmso2.5 m,_1soq5 m,4,4,-0.46029458278564217,-3.179123225402016,0.0018015149994321522,,,
,,dmso2.5 m,_1soq7.5 m,4,4,0.15220970650795884,1.0512689724971715,0.2948601805589455,,,
,,dmso2.5 m,_1soq15 m,4,4,1.110981847722492,7.673234331196633,2.1369572777985013e-12,,,
,,dmso2.5 m,10soq2.5 m,4,4,-0.9077732348088459,-6.269730477195482,3.807705928338123e-09,,,
,,dmso2.5 m,10soq5 m,4,4,-0.3545417475188106,-2.4487185947104018,0.015512877394540547,,,
,,dmso2.5 m,10soq7.5 m,4,4,0.37921596875293595,2.619136393936698,0.009739419128580673,,,
,,dmso2.5 m,10soq15 m,4,4,1.344308909716089,9.284757711310151,2.220446049250313e-16,,,
,,dmso5 m,dmso7.5 m,4,4,0.6045638773171613,4.175550040121033,5.072182784537915e-05,,,
,,dmso5 m,dmso10 m,4,4,0.9403483838741185,6.494717728484877,1.2051968312221106e-09,,,
,,dmso5 m,dmso15 m,4,4,1.6294529324249694,11.25416604041169,0.0,,,
,,dmso5 m,dmso20 m,4,4,1.831546223712019,12.649966686468382,0.0,,,
,,dmso5 m,01rdn2.5 m,4,4,-1.3849001794036724,-9.565110018372712,0.0,,,
,,dmso5 m,01rdn5 m,4,4,-1.382513045203929,-9.548622764209023,0.0,,,
,,dmso5 m,01rdn7.5 m,4,4,-0.9615055582167731,-6.640844289283305,5.646090261990366e-10,,,
,,dmso5 m,01rdn15 m,4,4,0.0096954551198003,0.06696373953754355,0.9467015609652716,,,
,,dmso5 m,_1rdn2.5 m,4,4,-1.611655882762724,-11.131246901145554,0.0,,,
,,dmso5 m,_1rdn5 m,4,4,-1.3924449455612553,-9.617219563474547,0.0,,,
,,dmso5 m,_1rdn7.5 m,4,4,-0.9123149959266925,-6.301099124131521,3.2475984124147317e-09,,,
,,dmso5 m,_1rdn15 m,4,4,0.2168123194358511,1.4974607697974747,0.1364175757656465,,,
,,dmso5 m,10rdn2.5 m,4,4,-0.7962142275681616,-5.499224274894998,1.6467147645471414e-07,,,
,,dmso5 m,10rdn5 m,4,4,-0.42304698967558885,-2.921864737522657,0.0040293575125021075,,,
,,dmso5 m,10rdn7.5 m,4,4,0.4331052057201674,2.991333963164885,0.0032581448692587944,,,
,,dmso5 m,10rdn15 m,4,4,1.9475831670553556,13.451400714553072,0.0,,,
,,dmso5 m,01soq2.5 m,4,4,-1.1769821229698048,-8.129079382971598,1.6409096303959814e-13,,,
,,dmso5 m,01soq5 m,4,4,-0.676274229315247,-4.670832961243388,6.711671442838352e-06,,,
,,dmso5 m,01soq7.5 m,4,4,0.02641558274362943,0.18244488584804724,0.8554849685592472,,,
,,dmso5 m,01soq15 m,4,4,1.1609380641132545,8.018267650554733,3.077538224260934e-13,,,
,,dmso5 m,_1soq2.5 m,4,4,-0.6959397016548063,-4.806656762329286,3.7537356394334864e-06,,,
,,dmso5 m,_1soq5 m,4,4,-0.42976491741254375,-2.968263545794254,0.00349774337262021,,,
,,dmso5 m,_1soq7.5 m,4,4,0.18273937188105727,1.2621286521049333,0.20890127842213557,,,
,,dmso5 m,_1soq15 m,4,4,1.1415115130955904,7.884094010804394,6.563638521583925e-13,,,
,,dmso5 m,10soq2.5 m,4,4,-0.8772435694357474,-6.05887079758772,1.0972643904594293e-08,,,
,,dmso5 m,10soq5 m,4,4,-0.3240120821457122,-2.23785891510264,0.026733814402535083,,,
,,dmso5 m,10soq7.5 m,4,4,0.4097456341260344,2.82999607354446,0.005306347436722092,,,
,,dmso5 m,10soq15 m,4,4,1.3748385750891874,9.495617390917914,0.0,,,
,,dmso7.5 m,dmso10 m,4,4,0.33578450655695713,2.3191676883638443,0.021763487361269984,,,
,,dmso7.5 m,dmso15 m,4,4,1.024889055107808,7.078616000290657,5.546629822106297e-11,,,
,,dmso7.5 m,dmso20 m,4,4,1.2269823463948577,8.474416646347349,2.2648549702353193e-14,,,
,,dmso7.5 m,01rdn2.5 m,4,4,-1.9894640567208337,-13.740660058493745,0.0,,,
,,dmso7.5 m,01rdn5 m,4,4,-1.9870769225210902,-13.724172804330056,0.0,,,
,,dmso7.5 m,01rdn7.5 m,4,4,-1.5660694355339344,-10.81639432940434,0.0,,,
,,dmso7.5 m,01rdn15 m,4,4,-0.594868422197361,-4.1085863005834895,6.587327009577315e-05,,,
,,dmso7.5 m,_1rdn2.5 m,4,4,-2.2162197600798854,-15.306796941266587,0.0,,,
,,dmso7.5 m,_1rdn5 m,4,4,-1.9970088228784166,-13.79276960359558,0.0,,,
,,dmso7.5 m,_1rdn7.5 m,4,4,-1.5168788732438538,-10.476649164252555,0.0,,,
,,dmso7.5 m,_1rdn15 m,4,4,-0.3877515578813102,-2.678089270323559,0.008247151177513512,,,
,,dmso7.5 m,10rdn2.5 m,4,4,-1.400778104885323,-9.674774315016032,0.0,,,
,,dmso7.5 m,10rdn5 m,4,4,-1.0276108669927502,-7.09741477764369,5.012834591866522e-11,,,
,,dmso7.5 m,10rdn7.5 m,4,4,-0.1714586715969939,-1.1842160769561485,0.23823878827528522,,,
,,dmso7.5 m,10rdn15 m,4,4,1.3430192897381943,9.27585067443204,2.220446049250313e-16,,,
,,dmso7.5 m,01soq2.5 m,4,4,-1.781546000286966,-12.304629423092633,0.0,,,
,,dmso7.5 m,01soq5 m,4,4,-1.2808381066324084,-8.846383001364421,2.6645352591003757e-15,,,
,,dmso7.5 m,01soq7.5 m,4,4,-0.5781482945735319,-3.9931051542729863,0.00010266684895610112,,,
