id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,48,147,87.84649013351937,1.4441595126823241,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,dmso0 min,dmso2.5 m,4,4,-2.8848301439074344,-18.70419896844085,0.0,2,147,0.05
,,dmso0 min,dmso5 m,4,4,-2.476494257632841,-16.056696244939182,0.0,,,
,,dmso0 min,dmso7.5 m,4,4,-1.7638011208719682,-11.435850798779938,0.0,,,
,,dmso0 min,dmso10 m,4,4,-1.4262455002805994,-9.247261808959996,2.220446049250313e-16,,,
,,dmso0 min,dmso15 m,4,4,-0.6041036878964067,-3.9167905950534334,0.00013697792955214005,,,
,,dmso0 min,dmso20 m,4,4,-0.6077059371974748,-3.940146281281061,0.0001254612505805497,,,
,,dmso0 min,01rdn0 min,4,4,-0.0005114182778510936,-0.0033158517998802335,0.997358833490849,,,
,,dmso0 min,_1rdn0 min,4,4,0.00031591177653244543,0.0020482581053222937,0.9983685046230268,,,
,,dmso0 min,10rdn0 min,4,4,0.004613401532157954,0.029911632877599677,0.9761781000955763,,,
,,dmso0 min,01soq0 min,4,4,-0.0004544152410095089,-0.0029462646527332525,0.9976532188349911,,,
,,dmso0 min,_1soq0 min,4,4,0.0016903277874704943,0.010959476184587105,0.9912706377644551,,,
,,dmso0 min,10soq0 min,4,4,0.0003280948385153302,0.0021272486884781096,0.9983055864884283,,,
,,dmso2.5 m,dmso5 m,4,4,0.4083358862745934,2.6475027235016637,0.008993428653297775,,,
,,dmso2.5 m,dmso7.5 m,4,4,1.1210290230354663,7.26834816966091,1.9866108758037626e-11,,,
,,dmso2.5 m,dmso10 m,4,4,1.458584643626835,9.456937159480852,0.0,,,
,,dmso2.5 m,dmso15 m,4,4,2.2807264560110276,14.787408373387414,0.0,,,
,,dmso2.5 m,dmso20 m,4,4,2.2771242067099595,14.764052687159786,0.0,,,
,,dmso2.5 m,01rdn2.5 m,4,4,0.18645839049986845,1.2089290049226156,0.22863103519649153,,,
,,dmso2.5 m,01rdn5 m,4,4,0.6390604138179494,4.143437407623196,5.751632955175445e-05,,,
,,dmso2.5 m,01rdn7.5 m,4,4,1.2455630617742752,8.075781995126698,2.220446049250313e-13,,,
,,dmso2.5 m,01rdn15 m,4,4,2.339818608051619,15.170540590573523,0.0,,,
,,dmso2.5 m,_1rdn2.5 m,4,4,0.11580838808718186,0.7508598513405468,0.45393728213699713,,,
,,dmso2.5 m,_1rdn5 m,4,4,0.400001683606801,2.5934667570268553,0.010462026806275615,,,
,,dmso2.5 m,_1rdn7.5 m,4,4,0.9751840850168603,6.322742153652967,2.9092361852889326e-09,,,
,,dmso2.5 m,_1rdn15 m,4,4,1.9427812396990354,12.596293385324149,0.0,,,
,,dmso2.5 m,10rdn2.5 m,4,4,-0.1150956773162779,-0.746238891560959,0.45671485450423055,,,
,,dmso2.5 m,10rdn5 m,4,4,-0.004169306945061013,-0.02703228362530093,0.9784706481003438,,,
,,dmso2.5 m,10rdn7.5 m,4,4,0.4079204524217479,2.6448092001210033,0.009061981502682226,,,
,,dmso2.5 m,10rdn15 m,4,4,1.8170677626724943,11.78121250706694,0.0,,,
,,dmso2.5 m,01soq2.5 m,4,4,0.24867374306244372,1.612310928700601,0.10903918809866076,,,
,,dmso2.5 m,01soq5 m,4,4,0.713816673336408,4.6281300523955995,8.038576291058419e-06,,,
,,dmso2.5 m,01soq7.5 m,4,4,1.4655366463056916,9.502011439368381,0.0,,,
,,dmso2.5 m,01soq15 m,4,4,2.266857994651864,14.697490268088991,0.0,,,
,,dmso2.5 m,_1soq2.5 m,4,4,0.35872087191392765,2.3258168514984767,0.021395495200585923,,,
,,dmso2.5 m,_1soq5 m,4,4,0.626321797405049,4.06084480976341,7.922307834840048e-05,,,
,,dmso2.5 m,_1soq7.5 m,4,4,1.0531879492428304,6.82849109692129,2.1065216238014273e-10,,,
,,dmso2.5 m,_1soq15 m,4,4,2.1180680702853563,13.732790021966036,0.0,,,
,,dmso2.5 m,10soq2.5 m,4,4,0.27201874273423376,1.7636714931003878,0.07986479911508138,,,
,,dmso2.5 m,10soq5 m,4,4,0.6048191155676599,3.9214291702357222,0.00013461343278398097,,,
,,dmso2.5 m,10soq7.5 m,4,4,1.0796412873958683,7.000005007797058,8.456990663319175e-11,,,
,,dmso2.5 m,10soq15 m,4,4,2.4076030683094194,15.610030601556629,0.0,,,
,,dmso5 m,dmso7.5 m,4,4,0.7126931367608729,4.620845446159246,8.288889971286295e-06,,,
,,dmso5 m,dmso10 m,4,4,1.0502487573522417,6.809434435979188,2.329778592269349e-10,,,
,,dmso5 m,dmso15 m,4,4,1.8723905697364343,12.13990564988575,0.0,,,
,,dmso5 m,dmso20 m,4,4,1.8687883204353661,12.116549963658121,0.0,,,
,,dmso5 m,01rdn2.5 m,4,4,-0.22187749577472493,-1.4385737185790481,0.1523970399501302,,,
,,dmso5 m,01rdn5 m,4,4,0.23072452754335604,1.4959346841215322,0.1368145232092406,,,
,,dmso5 m,01rdn7.5 m,4,4,0.8372271754996818,5.428279271625035,2.2956683554120616e-07,,,
,,dmso5 m,01rdn15 m,4,4,1.9314827217770256,12.52303786707186,0.0,,,
,,dmso5 m,_1rdn2.5 m,4,4,-0.2925274981874115,-1.8966428721611168,0.05983682247629618,,,
,,dmso5 m,_1rdn5 m,4,4,-0.00833420266779239,-0.05403596647480859,0.956979876625502,,,
,,dmso5 m,_1rdn7.5 m,4,4,0.5668481987422669,3.675239430151303,0.0003323206183505345,,,
,,dmso5 m,_1rdn15 m,4,4,1.534445353424442,9.948790661822486,0.0,,,
,,dmso5 m,10rdn2.5 m,4,4,-0.5234315635908713,-3.3937416150626225,0.0008863301413390978,,,
,,dmso5 m,10rdn5 m,4,4,-0.4125051932196544,-2.6745350071269645,0.00833089976075918,,,
,,dmso5 m,10rdn7.5 m,4,4,-0.0004154338528454815,-0.0026935233806601507,0.9978545337251741,,,
,,dmso5 m,10rdn15 m,4,4,1.4087318763979009,9.133709783565276,4.440892098500626e-16,,,
,,dmso5 m,01soq2.5 m,4,4,-0.15966214321214967,-1.0351917948010625,0.3022793071074257,,,
,,dmso5 m,01soq5 m,4,4,0.3054807870618146,1.980627328893936,0.049499363744028635,,,
,,dmso5 m,01soq7.5 m,4,4,1.0572007600310982,6.854508715866718,1.8354473496628998e-10,,,
,,dmso5 m,01soq15 m,4,4,1.8585221083772705,12.049987544587328,0.0,,,
,,dmso5 m,_1soq2.5 m,4,4,-0.04961501436066573,-0.32168587200318677,0.7481476497834949,,,
,,dmso5 m,_1soq5 m,4,4,0.21798591113045562,1.413342086261746,0.15966920900544967,,,
,,dmso5 m,_1soq7.5 m,4,4,0.644852062968237,4.180988373419627,4.965006201906874e-05,,,
,,dmso5 m,_1soq15 m,4,4,1.709732184010763,11.085287298464372,0.0,,,
,,dmso5 m,10soq2.5 m,4,4,-0.13631714354035962,-0.8838312304012759,0.3782305456113546,,,
,,dmso5 m,10soq5 m,4,4,0.1964832292930665,1.2739264467340585,0.20469994088067178,,,
,,dmso5 m,10soq7.5 m,4,4,0.6713054011212749,4.352502284295395,2.506802817126008e-05,,,
,,dmso5 m,10soq15 m,4,4,1.9992671820348262,12.962527878054965,0.0,,,
,,dmso7.5 m,dmso10 m,4,4,0.3375556205913688,2.188588989819942,0.030205193157142096,,,
,,dmso7.5 m,dmso15 m,4,4,1.1596974329755614,7.519060203726504,5.0242032756386834e-12,,,
,,dmso7.5 m,dmso20 m,4,4,1.1560951836744933,7.495704517498877,5.715428130770306e-12,,,
,,dmso7.5 m,01rdn2.5 m,4,4,-0.9345706325355978,-6.059419164738294,1.094276513846637e-08,,,
