id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,48,147,107.57303064083156,1.4441595126823241,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,dmso0 min,dmso2.5 m,4,4,-2.4648677223728845,-13.688337594336815,0.0,2,147,0.05
,,dmso0 min,dmso5 m,4,4,-2.037000279151625,-11.312228744649696,0.0,,,
,,dmso0 min,dmso7.5 m,4,4,-1.699276797440421,-9.436723219855272,0.0,,,
,,dmso0 min,dmso10 m,4,4,-1.5501602034271795,-8.608622684786427,1.0436096431476471e-14,,,
,,dmso0 min,dmso15 m,4,4,-1.2558063202229575,-6.973964853483201,9.720513283184573e-11,,,
,,dmso0 min,dmso20 m,4,4,-1.1084808106077226,-6.155810883772541,6.76168321334103e-09,,,
,,dmso0 min,01rdn0 min,4,4,-0.022407502706246026,-0.12443729085544439,0.9011390484709374,,,
,,dmso0 min,_1rdn0 min,4,4,-0.029993577518544017,-0.16656561770402048,0.8679407397998289,,,
,,dmso0 min,10rdn0 min,4,4,-0.028915866535464966,-0.1605806832462358,0.8726441322073439,,,
,,dmso0 min,01soq0 min,4,4,-0.019885907940179054,-0.11043392665024107,0.9122158761264627,,,
,,dmso0 min,_1soq0 min,4,4,-0.028698056872966823,-0.15937110426375276,0.8735952648021734,,,
,,dmso0 min,10soq0 min,4,4,0.0006662926949370061,0.0037001739534152874,0.997052711733869,,,
,,dmso2.5 m,dmso5 m,4,4,0.4278674432212597,2.3761088496871183,0.01878503770886808,,,
,,dmso2.5 m,dmso7.5 m,4,4,0.7655909249324635,4.251614374481542,3.755821698359085e-05,,,
,,dmso2.5 m,dmso10 m,4,4,0.914707518945705,5.079714909550388,1.1295871524819034e-06,,,
,,dmso2.5 m,dmso15 m,4,4,1.209061402149927,6.714372740853614,3.842937079667763e-10,,,
,,dmso2.5 m,dmso20 m,4,4,1.356386911765162,7.532526710564274,4.664046926450283e-12,,,
,,dmso2.5 m,01rdn2.5 m,4,4,-1.0649061712836474,-5.913824521500248,2.2461412285679216e-08,,,
,,dmso2.5 m,01rdn5 m,4,4,-1.37059684240973,-7.611439800337589,3.0127011996228248e-12,,,
,,dmso2.5 m,01rdn7.5 m,4,4,-1.234521037605194,-6.855759672889442,1.8233192733418946e-10,,,
,,dmso2.5 m,01rdn15 m,4,4,-0.7351852309481344,-4.082760119030088,7.280223797079266e-05,,,
,,dmso2.5 m,_1rdn2.5 m,4,4,-0.25140944371286444,-1.3961712057445235,0.16476778289517124,,,
,,dmso2.5 m,_1rdn5 m,4,4,-0.6759168425546189,-3.753620465149716,0.000250371698313101,,,
,,dmso2.5 m,_1rdn7.5 m,4,4,-0.1626660241318718,-0.903345616981858,0.36782042353884137,,,
,,dmso2.5 m,_1rdn15 m,4,4,0.43033374038891115,2.3898051255287562,0.01812473707565987,,,
,,dmso2.5 m,10rdn2.5 m,4,4,0.639456677121697,3.551143452423552,0.0005157109704738705,,,
,,dmso2.5 m,10rdn5 m,4,4,0.9646605004249493,5.357122604951297,3.1950900858390696e-07,,,
,,dmso2.5 m,10rdn7.5 m,4,4,1.2913874738785227,7.171560383179406,3.3592684189898137e-11,,,
,,dmso2.5 m,10rdn15 m,4,4,2.400201349473177,13.32922090210299,0.0,,,
,,dmso2.5 m,01soq2.5 m,4,4,-1.5322258927134413,-8.509026711605744,1.865174681370263e-14,,,
,,dmso2.5 m,01soq5 m,4,4,-1.755120705319551,-9.74684544535981,0.0,,,
,,dmso2.5 m,01soq7.5 m,4,4,-1.5169873223244732,-8.424401198420616,3.019806626980426e-14,,,
,,dmso2.5 m,01soq15 m,4,4,-0.9055389883584186,-5.028798610560534,1.4176735465554202e-06,,,
,,dmso2.5 m,_1soq2.5 m,4,4,-0.6403070093924197,-3.5558656673657016,0.0005072604282014836,,,
,,dmso2.5 m,_1soq5 m,4,4,-0.9051075040613759,-5.026402415961137,1.4328591289025638e-06,,,
,,dmso2.5 m,_1soq7.5 m,4,4,-0.6477712765497152,-3.597317550489483,0.00043847894589399417,,,
,,dmso2.5 m,_1soq15 m,4,4,-0.0011327391899791373,-0.006290526788935904,0.9949894476542855,,,
,,dmso2.5 m,10soq2.5 m,4,4,0.21317178987873397,1.1838231313443737,0.2383938469355411,,,
,,dmso2.5 m,10soq5 m,4,4,0.3649217260801927,2.026547606086147,0.044516837198692594,,,
,,dmso2.5 m,10soq7.5 m,4,4,0.5567837943877687,3.092029838136127,0.00237910994708046,,,
