id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,20,170,14.890603554142269,1.6326540035420818,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,0 min,2.5 m,3,4,-1.6790727305042343,-4.242604665560439,3.623053896473216e-05,2,170,0.05
,,0 min,5 m,3,4,-1.0755104512996234,-2.717550928941901,0.007257865180921863,,,
,,0 min,7.5 m,3,4,-0.46865764611749877,-1.1841828408299906,0.23799373577938998,,,
,,0 min,10 m,3,4,-0.4050854509138317,-1.0235515071950259,0.30750145588339217,,,
,,0 min,15 m,3,4,-0.43449034567873207,-1.097850458904173,0.2738223272940421,,,
,,0 min,20 m,3,4,-0.2419545685146121,-0.6113598074608046,0.5417780535665453,,,
,,0 min,0 min,3,12,-0.06028765551096732,-0.18024178090771273,0.8571774371112553,,,
,,0 min,2.5 m,3,12,-1.552992097127682,-4.642974734205347,6.841807360213892e-06,,,
,,0 min,5 m,3,12,-1.06339051479342,-3.1792146926640394,0.0017549750708403256,,,
,,0 min,7.5 m,3,12,-0.655842208470154,-1.9607690272116083,0.05153988911264684,,,
,,0 min,10 m,3,12,-0.44155448171141287,-1.320113802351611,0.18857176049430424,,,
,,0 min,15 m,3,12,-0.4602491602742294,-1.3760052137707584,0.1706300227609745,,,
,,0 min,20 m,3,11,-0.08609880160196345,-0.25510061905516995,0.7989537436525604,,,
,,0 min,0 min,3,11,-0.10493151925941914,-0.3108997456808606,0.7562577170883555,,,
,,0 min,2.5 m,3,11,-2.494485617387814,-7.390867391647151,6.306732913685664e-12,,,
,,0 min,5 m,3,11,-1.6605235567426018,-4.919935927088099,2.031894254850286e-06,,,
,,0 min,7.5 m,3,12,-1.207281393212182,-3.6094047201706623,0.0004034604141007758,,,
,,0 min,10 m,3,12,-1.121777670915113,-3.3537745575703166,0.0009828860432175013,,,
,,0 min,15 m,3,12,-0.7457995772825009,-2.2297142403416785,0.027075996709772676,,,
,,0 min,20 m,3,12,-0.5524290529478599,-1.6515950982762937,0.10046309734488768,,,
,,2.5 m,2.5 m,4,12,0.1260806333765523,0.4214348663690534,0.6739699452729602,,,
,,2.5 m,20 m,4,11,1.5929739289022709,5.265150996326403,4.1869673017558284e-07,,,
,,2.5 m,0 min,4,11,1.5741412112448152,5.202904464642098,5.596082390812995e-07,,,
,,2.5 m,2.5 m,4,11,-0.8154128868835793,-2.6951300934039697,0.0077428281232292395,,,
,,2.5 m,5 m,4,11,0.018549173761632565,0.06130935286517359,0.9511848615318144,,,
,,5 m,20 m,4,11,0.9894116496976599,3.2702366552680613,0.0013009120194418244,,,
,,5 m,0 min,4,11,0.9705789320402043,3.2079901235837567,0.0015975829615146875,,,
,,5 m,2.5 m,4,11,-1.4189751660881902,-4.690044434462312,5.585422743648039e-06,,,
,,5 m,5 m,4,11,-0.5850131054429784,-1.9336049881931685,0.05482286394618341,,,
,,7.5 m,20 m,4,11,0.38255884451553535,1.2644463570991824,0.20780065991170127,,,
,,7.5 m,0 min,4,11,0.36372612685807965,1.2021998254148776,0.23095801316338593,,,
,,7.5 m,2.5 m,4,11,-2.025827971270315,-6.695834732631191,2.996327630455653e-10,,,
,,7.5 m,5 m,4,11,-1.191865910625103,-3.9393952863620476,0.00011905729106409524,,,
,,10 m,10 m,4,12,-0.03646903079758118,-0.12190072899527338,0.9031216148036418,,,
,,10 m,20 m,4,11,0.31898664931186826,1.0543253997864033,0.2932301162117459,,,
,,10 m,0 min,4,11,0.30015393165441256,0.9920788681020984,0.3225690249337574,,,
,,10 m,2.5 m,4,11,-2.089400166473982,-6.905955689943971,9.521472499329775e-11,,,
,,10 m,5 m,4,11,-1.25543810582877,-4.149516243674826,5.256019027055636e-05,,,
,,10 m,10 m,4,12,-0.7166922200012813,-2.395602574916566,0.01767941833018738,,,
,,15 m,20 m,4,11,0.34839154407676864,1.151515446754075,0.2511371658332415,,,
,,15 m,0 min,4,11,0.32955882641931294,1.08926891506977,0.27757701261238865,,,
,,15 m,2.5 m,4,11,-2.0599952717090817,-6.808765642976299,1.6218737464157584e-10,,,
,,15 m,5 m,4,11,-1.2260332110638696,-4.052326196707154,7.701537388427049e-05,,,
,,20 m,20 m,4,11,0.15585576691264866,0.5151397217208894,0.6071245726251564,,,
,,20 m,0 min,4,11,0.13702304925519299,0.45289319003658474,0.6512031302119983,,,
,,20 m,2.5 m,4,11,-2.2525310488732013,-7.445141368009483,4.6282977450573526e-12,,,
,,20 m,5 m,4,11,-1.4185689882279897,-4.68870192174034,5.617949397684896e-06,,,
,,0 min,20 m,12,11,-0.02581114609099613,-0.11933059067142705,0.9051543473514467,,,
,,0 min,0 min,12,11,-0.04464386374845182,-0.20639837580927292,0.836726725831509,,,
,,0 min,2.5 m,12,11,-2.4341979618768463,-11.253831177348454,0.0,,,
,,0 min,5 m,12,11,-1.6002359012316345,-7.398241621444588,6.047606859738153e-12,,,
,,2.5 m,20 m,12,11,1.4668932955257186,6.781769503373675,1.8791390665739982e-10,,,
,,2.5 m,0 min,12,11,1.448060577868263,6.694701718235829,3.014752891772332e-10,,,
,,2.5 m,2.5 m,12,11,-0.9414935202601316,-4.352731083303352,2.315241127859302e-05,,,
,,2.5 m,5 m,12,11,-0.10753145961491972,-0.4971415273994854,0.6197315929449636,,,
,,5 m,20 m,12,11,0.9772917131914564,4.518233982415409,1.1632288350771347e-05,,,
,,5 m,0 min,12,11,0.9584589955340007,4.431166197277563,1.674616043900734e-05,,,
,,5 m,2.5 m,12,11,-1.4310951025943939,-6.616266604261619,4.6020831589999034e-10,,,
,,5 m,5 m,12,11,-0.5971330419491819,-2.7606770483577514,0.006401625609339989,,,
