id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,48,142,15.062315082706045,1.4471422725131178,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,dmso0 min,dmso2.5 m,3,4,-1.6790727305042343,-5.769028424986111,4.7965909244496174e-08,2,142,0.05
,,dmso0 min,dmso5 m,3,4,-1.0755104512996234,-3.6952838624529853,0.00031276432705862334,,,
,,dmso0 min,dmso7.5 m,3,4,-0.46865764611749877,-1.610233572923906,0.10956763247855594,,,
,,dmso0 min,dmso10 m,3,4,-0.4050854509138317,-1.3918095615598574,0.16615630797731207,,,
,,dmso0 min,dmso15 m,3,4,-0.43449034567873207,-1.4928401307845105,0.13769755959456176,,,
,,dmso0 min,dmso20 m,3,4,-0.2419545685146121,-0.8313176421469651,0.40718990812535116,,,
,,dmso0 min,01rdn0 min,3,4,-0.08650533860541706,-0.2972186661490426,0.7667339190414881,,,
,,dmso0 min,01rdn2.5 m,3,4,-2.019369772868341,-6.938235258419514,1.2978662589091527e-10,,,
,,dmso0 min,01rdn5 m,3,4,-1.3829448648230371,-4.751579899077252,4.889702284627262e-06,,,
,,dmso0 min,01rdn7.5 m,3,4,-1.0220442203180908,-3.5115823463091873,0.0005975395181709864,,,
,,dmso0 min,01rdn10 m,3,4,-0.7421593435668794,-2.5499421621960305,0.011834694569905047,,,
,,dmso0 min,01rdn15 m,3,4,-0.6839823151071723,-2.3500550907381514,0.020147322432558346,,,
,,dmso0 min,01rdn20 m,3,3,0.08001205670202383,0.2571536132681832,0.797432436559125,,,
,,dmso0 min,_1rdn0 min,3,4,0.009143959827341966,0.031417200221592105,0.9749809392265725,,,
,,dmso0 min,_1rdn2.5 m,3,4,-1.941029146942905,-6.66906925412182,5.312374984356438e-10,,,
,,dmso0 min,_1rdn5 m,3,4,-1.4778376806141975,-5.0776166106983,1.1802744284139521e-06,,,
,,dmso0 min,_1rdn7.5 m,3,4,-1.0647486037295224,-3.6583078557503836,0.00035697156585823286,,,
,,dmso0 min,_1rdn10 m,3,4,-0.9627477178108923,-3.307848939023394,0.0011911921543950044,,,
,,dmso0 min,_1rdn15 m,3,4,-0.7710646211686388,-2.649256125842255,0.008980825322480124,,,
,,dmso0 min,_1rdn20 m,3,4,-0.8741668352312992,-3.0034990319419026,0.0031552207026812606,,,
,,dmso0 min,10rdn0 min,3,4,-0.10350158775482686,-0.35561509096123384,0.7226565580120161,,,
,,dmso0 min,10rdn2.5 m,3,4,-0.6985773715717996,-2.400201397136342,0.017681947835765488,,,
,,dmso0 min,10rdn5 m,3,4,-0.32938899894302465,-1.1317285209017556,0.25965616616013487,,,
,,dmso0 min,10rdn7.5 m,3,4,0.11926619863715127,0.40977980142119297,0.6825850027468765,,,
,,dmso0 min,10rdn10 m,3,4,0.38024361624353314,1.306456945357985,0.19350929878788858,,,
,,dmso0 min,10rdn15 m,3,4,0.07429945545312283,0.25528118150149065,0.7988753131676174,,,
,,dmso0 min,10rdn20 m,3,4,0.5773860882993819,1.983807309282172,0.049205473041140646,,,
,,dmso0 min,01soq0 min,3,3,-0.10235183284364045,-0.3289522195184055,0.7426764547277349,,,
,,dmso0 min,01soq2.5 m,3,3,-2.6819009348776355,-8.619457420017277,1.176836406102666e-14,,,
,,dmso0 min,01soq5 m,3,3,-2.091475881740041,-6.721869205983141,4.037663536848868e-10,,,
,,dmso0 min,01soq7.5 m,3,4,-1.463124329969247,-5.0270638641999295,1.4770746130654544e-06,,,
,,dmso0 min,01soq10 m,3,4,-1.4924626798721567,-5.127865795800146,9.430688514555641e-07,,,
,,dmso0 min,01soq15 m,3,4,-0.8607368017223169,-2.9573555602183355,0.003635403099269574,,,
,,dmso0 min,01soq20 m,3,4,-0.6548461342865013,-2.2499477801396948,0.025989953105355124,,,
,,dmso0 min,_1soq0 min,3,4,-0.10538737110872565,-0.3620943444053301,0.7178198251947587,,,
,,dmso0 min,_1soq2.5 m,3,4,-2.4521992291830506,-8.42536883595131,3.6193270602780103e-14,,,
,,dmso0 min,_1soq5 m,3,4,-1.7057322530256664,-5.860626329251111,3.0826934338534784e-08,,,
,,dmso0 min,_1soq7.5 m,3,4,-1.0895366344033934,-3.7434756099274438,0.00026288546146613356,,,
,,dmso0 min,_1soq10 m,3,4,-1.0716487369382266,-3.682015622480209,0.0003279953488768417,,,
,,dmso0 min,_1soq15 m,3,4,-0.9328233138174644,-3.2050334182287643,0.0016680943476790056,,,
,,dmso0 min,_1soq20 m,3,4,-0.3096334396714605,-1.0638515427824542,0.2892017057434242,,,
,,dmso0 min,10soq0 min,3,4,-0.10641043222194665,-0.3656094206348735,0.7152005970702384,,,
,,dmso0 min,10soq2.5 m,3,4,-2.39621051747521,-8.2330004748596,1.0746958878371515e-13,,,
,,dmso0 min,10soq5 m,3,4,-1.2921006167114581,-4.439453425887014,1.798542602293729e-05,,,
,,dmso0 min,10soq7.5 m,3,4,-1.069183215263906,-3.6735444798291677,0.00033808369728660637,,,
,,dmso0 min,10soq10 m,3,4,-0.801221595934956,-2.752870723040928,0.006679630798754443,,,
,,dmso0 min,10soq15 m,3,4,-0.44383861630772153,-1.5249593106171242,0.12949337954202012,,,
,,dmso0 min,10soq20 m,3,4,-0.692807584885618,-2.3803773223395988,0.01862270336577021,,,
,,dmso2.5 m,dmso5 m,4,4,0.6035622792046109,2.239900130751738,0.026651091857964326,,,
,,dmso2.5 m,dmso7.5 m,4,4,1.2104150843867356,4.492011842348104,1.4503442845148484e-05,,,
,,dmso2.5 m,dmso10 m,4,4,1.2739872795904026,4.727936739007519,5.407726646700084e-06,,,
,,dmso2.5 m,dmso15 m,4,4,1.2445823848255022,4.618811252047932,8.570387364681409e-06,,,
,,dmso2.5 m,dmso20 m,4,4,1.4371181619896223,5.333337204552164,3.7150100018479293e-07,,,
,,dmso2.5 m,01rdn2.5 m,4,4,-0.34029704236410696,-1.2628877183814071,0.2086993538906583,,,
,,dmso2.5 m,01rdn5 m,4,4,0.2961278656811972,1.098970011732104,0.27364092315447697,,,
,,dmso2.5 m,01rdn7.5 m,4,4,0.6570285101861435,2.4383204460904615,0.01599058541028464,,,
,,dmso2.5 m,01rdn15 m,4,4,0.995090415397062,3.6929132723386613,0.000315435564881561,,,
,,dmso2.5 m,01rdn20 m,4,3,1.759084787206258,6.043937201163398,1.2579227659514913e-08,,,
,,dmso2.5 m,_1rdn2.5 m,4,4,-0.26195641643867074,-0.9721552052680908,0.3326264137868069,,,
,,dmso2.5 m,_1rdn5 m,4,4,0.20123504989003682,0.7468101140358384,0.4564129219425035,,,
,,dmso2.5 m,_1rdn7.5 m,4,4,0.6143241267747119,2.2798387826687634,0.024107116932102768,,,
,,dmso2.5 m,_1rdn15 m,4,4,0.9080081093355955,3.3697392181378407,0.0009690327869158466,,,
,,dmso2.5 m,10rdn2.5 m,4,4,0.9804953589324348,3.6387490708803973,0.00038268123032247914,,,
,,dmso2.5 m,10rdn5 m,4,4,1.3496837315612096,5.008856369853723,1.6008072929452055e-06,,,
,,dmso2.5 m,10rdn7.5 m,4,4,1.7983389291413856,6.6738756567558495,5.181557405364856e-10,,,
,,dmso2.5 m,10rdn15 m,4,4,1.7533721859573572,6.50699807442894,1.2251268888263667e-09,,,
,,dmso2.5 m,01soq0 min,4,3,1.576720897660594,5.417363710112761,2.521900093199747e-07,,,
,,dmso2.5 m,01soq2.5 m,4,3,-1.002828204373401,-3.4455591537542043,0.000749688194817244,,,
,,dmso2.5 m,01soq5 m,4,3,-0.41240315123580684,-1.4169520228696346,0.15868718122574244,,,
,,dmso2.5 m,01soq7.5 m,4,4,0.21594840053498743,0.8014133209772195,0.42423140046999097,,,
,,dmso2.5 m,01soq15 m,4,4,0.8183359287819174,3.0369537942182565,0.0028443954287815654,,,
,,dmso2.5 m,_1soq2.5 m,4,4,-0.773126498678816,-2.8691755683612703,0.004744372810923547,,,
,,dmso2.5 m,_1soq5 m,4,4,-0.02665952252143211,-0.09893704434317555,0.921327785917236,,,
,,dmso2.5 m,_1soq7.5 m,4,4,0.5895360961008409,2.1878470942208854,0.03031632447203836,,,
,,dmso2.5 m,_1soq15 m,4,4,0.7462494166867699,2.7694311318011446,0.006366076511792995,,,
,,dmso2.5 m,10soq2.5 m,4,4,-0.7171377869709761,-2.6613939905590938,0.008678443083433462,,,
,,dmso2.5 m,10soq5 m,4,4,0.3869721137927762,1.4361051347078517,0.15317177891513478,,,
,,dmso2.5 m,10soq7.5 m,4,4,0.6098895152403283,2.2633813477064773,0.025128431868464585,,,
,,dmso2.5 m,10soq15 m,4,4,1.2352341141965129,4.584118572724482,9.906753170696447e-06,,,
,,dmso5 m,dmso7.5 m,4,4,0.6068528051821247,2.252111711596366,0.02584945571963404,,,
,,dmso5 m,dmso10 m,4,4,0.6704250003857917,2.488036608255781,0.01400135922001855,,,
,,dmso5 m,dmso15 m,4,4,0.6410201056208913,2.3789111212961935,0.0186940086671894,,,
,,dmso5 m,dmso20 m,4,4,0.8335558827850114,3.093437073800426,0.0023829857789137154,,,
,,dmso5 m,01rdn2.5 m,4,4,-0.9438593215687179,-3.5027878491331452,0.0006159804639092048,,,
,,dmso5 m,01rdn5 m,4,4,-0.3074344135234137,-1.140930119019634,0.2558195305471136,,,
,,dmso5 m,01rdn7.5 m,4,4,0.05346623098153258,0.1984203153387233,0.8430000175375734,,,
,,dmso5 m,01rdn15 m,4,4,0.3915281361924511,1.4530131415869234,0.14842640264447016,,,
,,dmso5 m,01rdn20 m,4,3,1.1555225080016474,3.9701926386302735,0.00011364564631199947,,,
,,dmso5 m,_1rdn2.5 m,4,4,-0.8655186956432817,-3.2120553360198287,0.001630572768322791,,,
,,dmso5 m,_1rdn5 m,4,4,-0.4023272293145741,-1.4930900167158996,0.13763220359758832,,,
,,dmso5 m,_1rdn7.5 m,4,4,0.010761847570101013,0.03993865191702553,0.9681981335546626,,,
,,dmso5 m,_1rdn15 m,4,4,0.3044458301309846,1.1298390873861028,0.2604489286092091,,,
,,dmso5 m,10rdn2.5 m,4,4,0.37693307972782386,1.3988489401286595,0.16403866760759134,,,
,,dmso5 m,10rdn5 m,4,4,0.7461214523565988,2.768956239101986,0.006374878430051467,,,
,,dmso5 m,10rdn7.5 m,4,4,1.1947766499367747,4.433975526004112,1.8391529638339676e-05,,,
,,dmso5 m,10rdn15 m,4,4,1.1498099067527463,4.267097943677202,3.598484975197991e-05,,,
,,dmso5 m,01soq0 min,4,3,0.973158618455983,3.3436191475796355,0.0010575930584653115,,,
,,dmso5 m,01soq2.5 m,4,3,-1.6063904835780118,-5.51930371628733,1.5686430177019872e-07,,,
,,dmso5 m,01soq5 m,4,3,-1.0159654304404178,-3.49069658540276,0.0006422092776621202,,,
,,dmso5 m,01soq7.5 m,4,4,-0.3876138786696235,-1.4384868097745185,0.15249637052480014,,,
,,dmso5 m,01soq15 m,4,4,0.2147736495773065,0.7970536634665184,0.42675056243617404,,,
,,dmso5 m,_1soq2.5 m,4,4,-1.376688777883427,-5.109075699113008,1.0257700970850436e-06,,,
,,dmso5 m,_1soq5 m,4,4,-0.630221801726043,-2.3388371750949135,0.020738661526827462,,,
,,dmso5 m,_1soq7.5 m,4,4,-0.014026183103770018,-0.05205303653085262,0.9585595876135198,,,
,,dmso5 m,_1soq15 m,4,4,0.142687137482159,0.5295310010494068,0.5972640425979683,,,
,,dmso5 m,10soq2.5 m,4,4,-1.320700066175587,-4.901294121310832,2.564966805396196e-06,,,
,,dmso5 m,10soq5 m,4,4,-0.21659016541183473,-0.8037949960438863,0.4228589049611573,,,
,,dmso5 m,10soq7.5 m,4,4,0.006327236035717387,0.023481216954739433,0.9812993855173047,,,
