id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,48,146,20.14308243012242,1.4447399756349266,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,dmso0 min,dmso2.5 m,4,4,-0.07653706638003813,-0.5215694024283821,0.6027604763142249,2,146,0.05
,,dmso0 min,dmso5 m,4,4,0.31121126223790585,2.120779901184478,0.03563026664458335,,,
,,dmso0 min,dmso7.5 m,4,4,0.8026085786347765,5.469455474865367,1.9101857673398115e-07,,,
,,dmso0 min,dmso10 m,4,4,1.149408017337365,7.832754521479771,9.01057006785777e-13,,,
,,dmso0 min,dmso15 m,4,4,1.0938994867975262,7.454486154626188,7.348122110784061e-12,,,
,,dmso0 min,dmso20 m,4,4,1.5192526793221761,10.353097519536666,0.0,,,
,,dmso0 min,01rdn0 min,4,4,0.02147871113372052,0.14636879959993143,0.8838321621694618,,,
,,dmso0 min,_1rdn0 min,4,4,0.025483183323277384,0.17365767106748203,0.8623750487123947,,,
,,dmso0 min,10rdn0 min,4,4,0.007737760210255825,0.052729731617330806,0.9580193286087291,,,
,,dmso0 min,01soq0 min,4,4,-0.0005105853966084874,-0.0034794346424963487,0.9972285680891784,,,
,,dmso0 min,_1soq0 min,4,4,0.008378004482201743,0.05709273947902383,0.9545493816800938,,,
,,dmso0 min,10soq0 min,4,4,0.0012507212944941667,0.008523163860692646,0.993211216542125,,,
,,dmso0 min,10soq5 m,4,3,0.47258503756244064,2.9815827452677466,0.003361005643877313,,,
,,dmso2.5 m,dmso5 m,4,4,0.387748328617944,2.6423493036128605,0.00913124096713247,,,
,,dmso2.5 m,dmso7.5 m,4,4,0.8791456450148146,5.991024877293749,1.5541985476374975e-08,,,
,,dmso2.5 m,dmso10 m,4,4,1.2259450837174033,8.354323923908154,4.6851411639181606e-14,,,
,,dmso2.5 m,dmso15 m,4,4,1.1704365531775645,7.97605555705457,4.027889133340068e-13,,,
,,dmso2.5 m,dmso20 m,4,4,1.5957897457022143,10.87466692196505,0.0,,,
,,dmso2.5 m,01rdn2.5 m,4,4,-0.016192021636074208,-0.11034213157452942,0.912289576345447,,,
,,dmso2.5 m,01rdn5 m,4,4,0.4390142714185122,2.991706137054203,0.0032578338391815453,,,
,,dmso2.5 m,01rdn7.5 m,4,4,0.8370083034570039,5.70387579913206,6.287821907591251e-08,,,
,,dmso2.5 m,01rdn15 m,4,4,0.9774638574474682,6.661024051964237,5.167661853988648e-10,,,
,,dmso2.5 m,_1rdn2.5 m,4,4,0.27971772648520304,1.9061640895288299,0.058594008248047835,,,
,,dmso2.5 m,_1rdn5 m,4,4,0.3883166713099936,2.6462223310528583,0.009032162176263459,,,
,,dmso2.5 m,_1rdn7.5 m,4,4,0.782172276502563,5.330190274419633,3.6473437825534916e-07,,,
,,dmso2.5 m,_1rdn15 m,4,4,0.919697625207337,6.267370353762362,3.906904577632986e-09,,,
,,dmso2.5 m,10rdn2.5 m,4,4,-0.020631563663299338,-0.1405958294455445,0.8883830316481727,,,
,,dmso2.5 m,10rdn5 m,4,4,0.4287424814734557,2.9217080093900067,0.0040351809612295675,,,
,,dmso2.5 m,10rdn7.5 m,4,4,0.8086714027067492,5.510771188647048,1.5736185554615645e-07,,,
,,dmso2.5 m,10rdn15 m,4,4,1.0890891998548158,7.421705978890671,8.796297024105115e-12,,,
,,dmso2.5 m,01soq2.5 m,4,4,-0.5043897555446609,-3.437213834198377,0.00076587904526626,,,
,,dmso2.5 m,01soq5 m,4,4,0.07119304130840708,0.48515201546801834,0.6282956864747247,,,
,,dmso2.5 m,01soq7.5 m,4,4,0.5884760612696709,4.010228274177516,9.646735928003913e-05,,,
,,dmso2.5 m,01soq15 m,4,4,0.8189838827541972,5.581046603035088,1.1294121904370513e-07,,,
,,dmso2.5 m,_1soq2.5 m,4,4,0.018427013207967177,0.1255727025085719,0.9002429204755242,,,
,,dmso2.5 m,_1soq5 m,4,4,0.5610385693000184,3.823252773709711,0.00019447467859490253,,,
,,dmso2.5 m,_1soq7.5 m,4,4,1.0181061958619748,6.937985283465983,1.2006662331032203e-10,,,
,,dmso2.5 m,_1soq15 m,4,4,1.113427562957549,7.587562159431298,3.5285108168636725e-12,,,
,,dmso2.5 m,10soq2.5 m,4,4,0.014987678878928816,0.10213501883984141,0.9187896465222316,,,
,,dmso2.5 m,10soq5 m,4,3,0.5491221039424787,3.4644621814623013,0.0006976705410561834,,,
,,dmso2.5 m,10soq7.5 m,4,4,0.797810560263337,5.436758904521186,2.2254628473383775e-07,,,
,,dmso2.5 m,10soq15 m,4,4,0.8704648329641314,5.931868625715118,2.0793827326670566e-08,,,
,,dmso5 m,dmso7.5 m,4,4,0.4913973163968706,3.3486755736808886,0.0010331811742905206,,,
,,dmso5 m,dmso10 m,4,4,0.8381967550994593,5.711974620295294,6.048052791918224e-08,,,
,,dmso5 m,dmso15 m,4,4,0.7826882245596205,5.333706253441711,3.5887184712812825e-07,,,
,,dmso5 m,dmso20 m,4,4,1.2080414170842704,8.23231761835219,9.414691248821327e-14,,,
,,dmso5 m,01rdn2.5 m,4,4,-0.4039403502540182,-2.7526914351873897,0.0066613626183336105,,,
,,dmso5 m,01rdn5 m,4,4,0.051265942800568176,0.3493568334413426,0.7273248127192629,,,
,,dmso5 m,01rdn7.5 m,4,4,0.44925997483905994,3.0615264955191996,0.002621964484082806,,,
,,dmso5 m,01rdn15 m,4,4,0.5897155288295242,4.018674748351376,9.340781988309566e-05,,,
,,dmso5 m,_1rdn2.5 m,4,4,-0.10803060213274093,-0.7361852140840301,0.46279916568881996,,,
,,dmso5 m,_1rdn5 m,4,4,0.0005683426920495838,0.003873027439998044,0.9969150658859667,,,
,,dmso5 m,_1rdn7.5 m,4,4,0.39442394788461904,2.6878409708067728,0.008027087170586755,,,
,,dmso5 m,_1rdn15 m,4,4,0.531949296589393,3.625021050149502,0.00039834312125197613,,,
,,dmso5 m,10rdn2.5 m,4,4,-0.40837989228124333,-2.7829451330584045,0.006099512124888351,,,
,,dmso5 m,10rdn5 m,4,4,0.04099415285551172,0.27935870577714655,0.7803649070709802,,,
,,dmso5 m,10rdn7.5 m,4,4,0.4209230740888052,2.8684218850341883,0.004737220062780212,,,
,,dmso5 m,10rdn15 m,4,4,0.7013408712368718,4.779356675277811,4.245623258736231e-06,,,
,,dmso5 m,01soq2.5 m,4,4,-0.892138084162605,-6.079563137811237,1.002270377803427e-08,,,
,,dmso5 m,01soq5 m,4,4,-0.3165552873095369,-2.157197288144842,0.03262675761602196,,,
