id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,48,147,48.77475214682365,1.4441595126823241,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,dmso0 min,dmso2.5 m,4,4,-2.48123446752375,-15.925715553440797,0.0,2,147,0.05
,,dmso0 min,dmso5 m,4,4,-2.0679010892692706,-13.272749903889348,0.0,,,
,,dmso0 min,dmso7.5 m,4,4,-1.7652033445026714,-11.329895149565434,0.0,,,
,,dmso0 min,dmso10 m,4,4,-1.4109467215194864,-9.056111561437554,8.881784197001252e-16,,,
,,dmso0 min,dmso15 m,4,4,-1.2692255803724617,-8.146479436236172,1.4876988529977098e-13,,,
,,dmso0 min,dmso20 m,4,4,-1.1556952282050728,-7.417788891684686,8.775424831242162e-12,,,
,,dmso0 min,01rdn0 min,4,4,0.006919507788952706,0.04441261567942654,0.964635778808205,,,
,,dmso0 min,_1rdn0 min,4,4,0.0008084183052683487,0.005188804261109257,0.995866986755142,,,
,,dmso0 min,10rdn0 min,4,4,0.0061794576085613525,0.0396626298064883,0.968415911425959,,,
,,dmso0 min,01soq0 min,4,4,0.005402473876297729,0.034675587238910864,0.9723854685523912,,,
,,dmso0 min,_1soq0 min,4,4,0.0005927710156537878,0.003804679770166084,0.9969694704334411,,,
,,dmso0 min,10soq0 min,4,4,0.004824165640200711,0.03096373630711051,0.9753404602217759,,,
,,dmso2.5 m,dmso5 m,4,4,0.41333337825447947,2.65296564955145,0.008855826526400934,,,
,,dmso2.5 m,dmso7.5 m,4,4,0.7160311230210787,4.595820403875364,9.207427336788143e-06,,,
,,dmso2.5 m,dmso10 m,4,4,1.0702877460042637,6.869603992003244,1.6942691694055156e-10,,,
,,dmso2.5 m,dmso15 m,4,4,1.2120088871512884,7.7792361172046265,1.1823875212257917e-12,,,
,,dmso2.5 m,dmso20 m,4,4,1.3255392393186773,8.507926661756112,1.865174681370263e-14,,,
,,dmso2.5 m,01rdn2.5 m,4,4,-0.3321989183504699,-2.1322069921470037,0.034651698265167896,,,
,,dmso2.5 m,01rdn5 m,4,4,0.19581662435810188,1.2568420683251076,0.21080424026308364,,,
,,dmso2.5 m,01rdn7.5 m,4,4,0.5123529313163497,3.2885191439642427,0.001260263866161404,,,
,,dmso2.5 m,01rdn15 m,4,4,0.8599963036568539,5.51985581705952,1.4943254589283583e-07,,,
,,dmso2.5 m,_1rdn2.5 m,4,4,0.2289447303638128,1.469473643444937,0.14384129092001618,,,
,,dmso2.5 m,_1rdn5 m,4,4,0.5821275889159421,3.7363653126009426,0.0002665735125684243,,,
,,dmso2.5 m,_1rdn7.5 m,4,4,1.0654304659001574,6.838427711682351,1.9986212684841576e-10,,,
,,dmso2.5 m,_1rdn15 m,4,4,1.5152876329609888,9.725820006146726,0.0,,,
,,dmso2.5 m,10rdn2.5 m,4,4,1.5044071065493383,9.655983732722484,0.0,,,
,,dmso2.5 m,10rdn5 m,4,4,1.7151593622663666,11.008689621958759,0.0,,,
,,dmso2.5 m,10rdn7.5 m,4,4,1.8095669636902927,11.614641468122072,0.0,,,
,,dmso2.5 m,10rdn15 m,4,4,2.1559393814399934,13.837820564188897,0.0,,,
,,dmso2.5 m,01soq2.5 m,4,4,0.6643484282888137,4.264096858150644,3.573838505221971e-05,,,
,,dmso2.5 m,01soq5 m,4,4,1.0318354675081978,6.622799404317025,6.203160207718383e-10,,,
,,dmso2.5 m,01soq7.5 m,4,4,1.5537127191790432,9.97245006115958,0.0,,,
,,dmso2.5 m,01soq15 m,4,4,1.728186794003825,11.092305731181069,0.0,,,
,,dmso2.5 m,_1soq2.5 m,4,4,1.6009973033618217,10.275944490087609,0.0,,,
,,dmso2.5 m,_1soq5 m,4,4,1.8342559241949732,11.77310668672758,0.0,,,
,,dmso2.5 m,_1soq7.5 m,4,4,2.0665611669741772,13.264149660093498,0.0,,,
