id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,48,147,75.1022817115631,1.4441595126823241,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,dmso0 min,dmso2.5 m,4,4,-2.374555599698467,-14.404386487960142,0.0,2,147,0.05
,,dmso0 min,dmso5 m,4,4,-2.375924650513524,-14.412691341745937,0.0,,,
,,dmso0 min,dmso7.5 m,4,4,-2.1474930034436537,-13.026993011122071,0.0,,,
,,dmso0 min,dmso10 m,4,4,-2.0771362780800957,-12.600199271572386,0.0,,,
,,dmso0 min,dmso15 m,4,4,-1.8203829866766592,-11.04269788398618,0.0,,,
,,dmso0 min,dmso20 m,4,4,-1.5412538835632004,-9.349461692003771,0.0,,,
,,dmso0 min,01rdn0 min,4,4,0.09920340341860436,0.6017817245231321,0.5482464390593331,,,
,,dmso0 min,_1rdn0 min,4,4,0.008300912622237503,0.05035449733359759,0.9599082522766318,,,
,,dmso0 min,10rdn0 min,4,4,0.007079891214487427,0.042947610643078026,0.9658015771345976,,,
,,dmso0 min,01soq0 min,4,4,0.003294204345492584,0.01998310444649876,0.9840839487263244,,,
,,dmso0 min,_1soq0 min,4,4,0.03503070093200892,0.21250113294162418,0.8320104785268434,,,
,,dmso0 min,10soq0 min,4,4,0.010767331354142253,0.06531613843394159,0.9480110357485381,,,
,,dmso2.5 m,dmso5 m,4,4,-0.0013690508150570047,-0.008304853785795593,0.993385021520298,,,
,,dmso2.5 m,dmso7.5 m,4,4,0.22706259625481318,1.3773934768380702,0.1704842293022346,,,
,,dmso2.5 m,dmso10 m,4,4,0.29741932161837115,1.8041872163877566,0.07324931280537883,,,
,,dmso2.5 m,dmso15 m,4,4,0.5541726130218079,3.3616886039739624,0.0009874933289464316,,,
,,dmso2.5 m,dmso20 m,4,4,0.8333017161352667,5.054924795956372,1.2619229177168734e-06,,,
