id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,20,170,12.208893276326446,1.6326540035420818,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,0 min,0 min,4,12,-0.17854033004592382,-0.3709813019527931,0.7111133486517729,2,170,0.05
,,0 min,2.5 m,4,11,-2.5637502589065004,-5.2675842002165645,4.1395658789689094e-07,,,
,,0 min,5 m,4,11,-2.4565974519933422,-5.047423741629092,1.1434077953342836e-06,,,
,,0 min,7.5 m,4,11,-1.505679258300381,-3.0936290475499613,0.0023121131221954805,,,
,,0 min,0 min,4,10,-0.17270072003255343,-0.35019922971197714,0.7266226971944969,,,
,,2.5 m,2.5 m,4,11,1.1623712013939236,2.3882545321949316,0.01802485521958741,,,
,,2.5 m,5 m,4,11,1.2695240083070818,2.608414990782405,0.009906267581637485,,,
,,2.5 m,7.5 m,4,11,2.2204422020000427,4.562209684861535,9.658534998013835e-06,,,
,,2.5 m,0 min,4,10,3.5534207402678706,7.205558875781214,1.7990497980235887e-11,,,
,,2.5 m,2.5 m,4,12,0.6990466693821902,1.4525191225224208,0.148200543931164,,,
,,5 m,2.5 m,4,11,0.6826084162433923,1.40251465440015,0.16258513241708195,,,
,,5 m,5 m,4,11,0.7897612231565505,1.6226751129876233,0.10651187512667071,,,
,,5 m,7.5 m,4,11,1.7406794168495117,3.5764698070667538,0.00045374179497303935,,,
,,5 m,0 min,4,10,3.0736579551173393,6.232705040704445,3.497126144225149e-09,,,
,,7.5 m,2.5 m,4,11,0.15889914147004003,0.3264805548542649,0.7444623863165378,,,
,,7.5 m,5 m,4,11,0.26605194838319823,0.5466410134417382,0.5853421549097755,,,
,,7.5 m,7.5 m,4,11,1.2169701420761594,2.5004357075208685,0.013351158622690207,,,
,,7.5 m,0 min,4,10,2.549948680343987,5.17073735125836,6.495308386700316e-07,,,
,,10 m,2.5 m,4,11,-0.01675323655276273,-0.03442187235720217,0.9725811253719097,,,
,,10 m,5 m,4,11,0.09039957036039548,0.1857385862302711,0.8528712003307239,,,
,,10 m,7.5 m,4,11,1.0413177640533566,2.1395332803094016,0.033819223494273576,,,
,,10 m,10 m,4,12,1.3412876096056405,2.787004054359373,0.005925081953920719,,,
,,10 m,0 min,4,10,2.3742963023211843,4.814552805710041,3.2434576955342465e-06,,,
,,10 m,10 m,4,12,0.5970466100830458,1.2405775696624841,0.21647123036376148,,,
,,15 m,2.5 m,4,11,-0.4749486973779853,-0.9758486598023023,0.3305260363785889,,,
