id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,48,142,6.181245074684966,1.4471422725131178,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,dmso0 min,dmso2.5 m,4,4,-3.726121460300424,-6.506048899003139,1.231100110743455e-09,2,142,0.05
,,dmso0 min,dmso5 m,4,4,-3.2463586751498927,-5.668352067762531,7.762009479606036e-08,,,
,,dmso0 min,dmso7.5 m,4,4,-2.7226494003765405,-4.753921825259866,4.841086530760208e-06,,,
,,dmso0 min,dmso10 m,4,4,-2.5469970223537377,-4.447221420343275,1.7424317610981177e-05,,,
,,dmso0 min,dmso15 m,4,4,-2.0888015615285154,-3.6471825313292214,0.00037138817603965535,,,
,,dmso0 min,dmso20 m,4,4,-1.9033952854776877,-3.3234511900348602,0.00113108960642605,,,
,,dmso0 min,01rdn0 min,4,4,-0.21132035190014395,-0.3689789926241528,0.7126929669554807,,,
,,dmso0 min,_1rdn0 min,4,4,-0.17694700388727697,-0.30896090535113774,0.7578041085664524,,,
,,dmso0 min,_1rdn7.5 m,4,3,-2.6169256038532294,-4.2303694493786805,4.161489396081741e-05,,,
,,dmso0 min,10rdn0 min,4,4,-0.1473536343503505,-0.2572889694400658,0.7973281595291848,,,
,,dmso0 min,10rdn2.5 m,4,3,-1.7749177693393254,-2.8692286458264777,0.004743620978812091,,,
,,dmso0 min,10rdn5 m,4,3,-2.053791364121414,-3.3200394498735926,0.0011439849979506533,,,
,,dmso0 min,01soq0 min,4,3,-0.11244537064427557,-0.18177263426869839,0.856020381249134,,,
,,dmso0 min,_1soq0 min,4,3,-0.18504843276971358,-0.299138514099045,0.7652717226882011,,,
,,dmso0 min,10soq0 min,4,4,-0.20863144752089174,-0.3642839917868081,0.7161878327507405,,,
,,dmso2.5 m,dmso5 m,4,4,0.4797627851505313,0.8376968312406085,0.4036087281502534,,,
,,dmso2.5 m,dmso7.5 m,4,4,1.0034720599238836,1.7521270737432735,0.08191059045990134,,,
,,dmso2.5 m,dmso10 m,4,4,1.1791244379466863,2.058827478659864,0.04133830353232382,,,
,,dmso2.5 m,dmso15 m,4,4,1.6373198987719089,2.8588663676739183,0.004892484290414556,,,
,,dmso2.5 m,dmso20 m,4,4,1.8227261748227364,3.182597708968279,0.0017934273473918516,,,
,,dmso2.5 m,01rdn2.5 m,4,4,1.2817862769778872,2.2380816849209584,0.026772302378202717,,,
