id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,20,175,34.764767706769106,1.630872702917783,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,0 min,0 min,4,12,0.018698875119973025,0.05867296837416578,0.9532795343689584,2,175,0.05
,,0 min,0 min,4,12,0.008446655093098053,0.026503750838758652,0.9788857406745357,,,
,,2.5 m,2.5 m,4,12,0.5360342885442693,1.6819580139145685,0.09436053542853506,,,
,,2.5 m,2.5 m,4,12,1.4844813793758167,4.657976935260741,6.297019432999207e-06,,,
,,10 m,10 m,4,12,0.4113360369730059,1.2906822540727614,0.19851645349143143,,,
,,10 m,10 m,4,12,1.2735122185961487,3.996001986557645,9.479047882154923e-05,,,
,,0 min,0 min,12,12,-0.010252220026874972,-0.045494143729503146,0.9637653147021639,,,
,,2.5 m,2.5 m,12,12,0.9484470908315474,4.208726320446708,4.098108695060887e-05,,,
,,10 m,10 m,12,12,0.8621761816231428,3.8258998562356754,0.00018110384527658674,,,


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha,Reject
Holm-Sidak,Protected,0 min,0 min,4,12,0.018698875119973025,0.05867296837416578,0.9998980184784414,2,175,0.05,False
,,0 min,0 min,4,12,0.008446655093098053,0.026503750838758652,0.9998980184784414,,,,False
,,2.5 m,2.5 m,4,12,0.5360342885442693,1.6819580139145685,0.3907764311829133,,,,False
,,2.5 m,2.5 m,4,12,1.4844813793758167,4.657976935260741,5.667174742962633e-05,,,,True
,,10 m,10 m,4,12,0.4113360369730059,1.2906822540727614,0.5873532348017855,,,,False
,,10 m,10 m,4,12,1.2735122185961487,3.996001986557645,0.0006633446916256558,,,,True
,,0 min,0 min,12,12,-0.010252220026874972,-0.045494143729503146,0.9998980184784414,,,,False
,,2.5 m,2.5 m,12,12,0.9484470908315474,4.208726320446708,0.0003278016748732293,,,,True
,,10 m,10 m,12,12,0.8621761816231428,3.8258998562356754,0.001086131211400887,,,,True


