id,way,df1,df2,f stat,f_crit,pvalue,alpha,Reject
ANOVA,1,48,147,110.15660348912934,1.4441595126823241,1.1102230246251565e-16,0.05,True


id,Test,Group 1,Group 2,Size 1,Size 2,muDiff,t stat,pvalue,tails,DF,alpha
FisherLSD,Protected,dmso0 min,dmso2.5 m,4,4,-3.9115244205853936,-25.042064957708348,0.0,2,147,0.05
,,dmso0 min,dmso5 m,4,4,-3.5057366374912426,-22.444161191644834,0.0,,,
,,dmso0 min,dmso7.5 m,4,4,-3.076516337207399,-19.696239541377732,0.0,,,
,,dmso0 min,dmso10 m,4,4,-3.000503296694294,-19.20959461896735,0.0,,,
,,dmso0 min,dmso15 m,4,4,-2.664175384954078,-17.056381572778974,0.0,,,
,,dmso0 min,dmso20 m,4,4,-2.2756294145036065,-14.56886203183735,0.0,,,
,,dmso0 min,01rdn0 min,4,4,-0.0027461192688109995,-0.017580996490592738,0.9859969566312672,,,
,,dmso0 min,_1rdn0 min,4,4,0.009680444214003277,0.06197540568857345,0.9506666036734275,,,
,,dmso0 min,10rdn0 min,4,4,0.04916230041472681,0.3147431507718191,0.7534029801104549,,,
,,dmso0 min,01soq0 min,4,4,-0.00479200362547356,-0.030679002139202674,0.9755671507486561,,,
,,dmso0 min,_1soq0 min,4,4,-0.001784567671465868,-0.01142502378742313,0.9908998390877051,,,
,,dmso0 min,10soq0 min,4,4,0.031916536576233584,0.20433362961019177,0.8383754207775771,,,
,,dmso2.5 m,dmso5 m,4,4,0.405787783094151,2.5979037660635127,0.010333778081274447,,,
,,dmso2.5 m,dmso7.5 m,4,4,0.8350080833779945,5.345825416330617,3.3664394005761267e-07,,,
,,dmso2.5 m,dmso10 m,4,4,0.9110211238910995,5.832470338740998,3.342527055139044e-08,,,
,,dmso2.5 m,dmso15 m,4,4,1.2473490356313155,7.985683384929372,3.701483564100272e-13,,,
,,dmso2.5 m,dmso20 m,4,4,1.6358950060817872,10.473202925870998,0.0,,,
,,dmso2.5 m,01rdn2.5 m,4,4,-0.18473733849585816,-1.182711376255471,0.23883294186166149,,,
,,dmso2.5 m,01rdn5 m,4,4,0.48324887061837174,3.093819265214599,0.002365690039711321,,,
,,dmso2.5 m,01rdn7.5 m,4,4,0.7657426804776493,4.902379707638685,2.4760449628402625e-06,,,
,,dmso2.5 m,01rdn15 m,4,4,1.3647758919043707,8.737464697374621,4.884981308350689e-15,,,
,,dmso2.5 m,_1rdn2.5 m,4,4,-0.41908513193175256,-2.6830350441923327,0.008131880830460902,,,
,,dmso2.5 m,_1rdn5 m,4,4,0.12195546659914225,0.7807740379814095,0.4361909212289612,,,
,,dmso2.5 m,_1rdn7.5 m,4,4,0.5587449706885597,3.577154670731089,0.00047075684572250864,,,
,,dmso2.5 m,_1rdn15 m,4,4,1.2006184297548605,7.686508244487294,1.98463467881993e-12,,,
,,dmso2.5 m,10rdn2.5 m,4,4,2.211925336060417,14.1610206127605,0.0,,,
,,dmso2.5 m,10rdn5 m,4,4,1.954914317000196,12.515604160729335,0.0,,,
,,dmso2.5 m,10rdn7.5 m,4,4,2.0352688522605122,13.03004387150945,0.0,,,
,,dmso2.5 m,10rdn15 m,4,4,2.638437114688562,16.89160197112391,0.0,,,
,,dmso2.5 m,01soq2.5 m,4,4,1.4017482176166771,8.974166116711935,1.1102230246251565e-15,,,
,,dmso2.5 m,01soq5 m,4,4,1.8756712021482578,12.008279901386889,0.0,,,
,,dmso2.5 m,01soq7.5 m,4,4,1.9803327311465064,12.678336003798995,0.0,,,
,,dmso2.5 m,01soq15 m,4,4,2.5377868225553115,16.24722630511798,0.0,,,
,,dmso2.5 m,_1soq2.5 m,4,4,1.444255802413449,9.246304951912343,2.220446049250313e-16,,,
,,dmso2.5 m,_1soq5 m,4,4,1.7156115935027918,10.983558415382394,0.0,,,
,,dmso2.5 m,_1soq7.5 m,4,4,1.9652422344520728,12.581724770470803,0.0,,,
,,dmso2.5 m,_1soq15 m,4,4,2.3791210105714873,15.23142807838166,0.0,,,
,,dmso2.5 m,10soq2.5 m,4,4,1.6074401180973235,10.291031200310197,0.0,,,
,,dmso2.5 m,10soq5 m,4,4,1.9009732367798864,12.170266668354996,0.0,,,
,,dmso2.5 m,10soq7.5 m,4,4,2.244542460407305,14.369839492256638,0.0,,,
,,dmso2.5 m,10soq15 m,4,4,2.5740834603481835,16.479601886508185,0.0,,,
,,dmso5 m,dmso7.5 m,4,4,0.4292203002838435,2.747921650267104,0.006748828262503448,,,
,,dmso5 m,dmso10 m,4,4,0.5052333407969485,3.234566572677485,0.001504780559524077,,,
,,dmso5 m,dmso15 m,4,4,0.8415612525371645,5.387779618865859,2.7718385520181243e-07,,,
,,dmso5 m,dmso20 m,4,4,1.2301072229876362,7.8752991598074855,6.896705428971472e-13,,,
,,dmso5 m,01rdn2.5 m,4,4,-0.5905251215900091,-3.7806151423189838,0.0002268831314675701,,,
,,dmso5 m,01rdn5 m,4,4,0.07746108752422076,0.495915499151086,0.6206946637473405,,,
,,dmso5 m,01rdn7.5 m,4,4,0.3599548973834983,2.3044759415751725,0.022596377855845118,,,
,,dmso5 m,01rdn15 m,4,4,0.9589881088102197,6.139560931311109,7.335456686519137e-09,,,
,,dmso5 m,_1rdn2.5 m,4,4,-0.8248729150259035,-5.280938810255845,4.53844717585028e-07,,,
,,dmso5 m,_1rdn5 m,4,4,-0.28383231649500873,-1.8171297280821033,0.07123398368852207,,,
,,dmso5 m,_1rdn7.5 m,4,4,0.15295718759440868,0.9792509046675762,0.3290648775817142,,,
,,dmso5 m,_1rdn15 m,4,4,0.7948306466607096,5.088604478423782,1.0855009957566608e-06,,,
,,dmso5 m,10rdn2.5 m,4,4,1.8061375529662662,11.563116846696989,0.0,,,
,,dmso5 m,10rdn5 m,4,4,1.549126533906045,9.917700394665822,0.0,,,
,,dmso5 m,10rdn7.5 m,4,4,1.6294810691663615,10.432140105445939,0.0,,,
,,dmso5 m,10rdn15 m,4,4,2.232649331594411,14.2936982050604,0.0,,,
,,dmso5 m,01soq2.5 m,4,4,0.9959604345225261,6.376262350648423,2.2143544775587998e-09,,,
,,dmso5 m,01soq5 m,4,4,1.4698834190541068,9.410376135323375,2.220446049250313e-16,,,
,,dmso5 m,01soq7.5 m,4,4,1.5745449480523555,10.080432237735481,0.0,,,
,,dmso5 m,01soq15 m,4,4,2.131999039461161,13.649322539054472,0.0,,,
,,dmso5 m,_1soq2.5 m,4,4,1.038468019319298,6.64840118584883,5.427722715722894e-10,,,
,,dmso5 m,_1soq5 m,4,4,1.3098238104086408,8.38565464931888,3.774758283725532e-14,,,
,,dmso5 m,_1soq7.5 m,4,4,1.5594544513579218,9.983821004407291,0.0,,,
,,dmso5 m,_1soq15 m,4,4,1.973333227477336,12.633524312318144,0.0,,,
,,dmso5 m,10soq2.5 m,4,4,1.2016523350031725,7.693127434246684,1.9126922268242197e-12,,,
,,dmso5 m,10soq5 m,4,4,1.4951854536857354,9.572362902291484,0.0,,,
,,dmso5 m,10soq7.5 m,4,4,1.838754677313154,11.771935726193124,0.0,,,
,,dmso5 m,10soq15 m,4,4,2.168295677254033,13.881698120444677,0.0,,,
,,dmso7.5 m,dmso10 m,4,4,0.07601304051310498,0.48664492241038143,0.6272347570461823,,,
,,dmso7.5 m,dmso15 m,4,4,0.412340952253321,2.6398579685987555,0.009189225843820426,,,
,,dmso7.5 m,dmso20 m,4,4,0.8008869227037927,5.127377509540382,9.120014692332035e-07,,,
,,dmso7.5 m,01rdn2.5 m,4,4,-1.0197454218738526,-6.528536792586087,1.0119840521127799e-09,,,
,,dmso7.5 m,01rdn5 m,4,4,-0.35175921275962274,-2.2520061511160177,0.025803677484699028,,,
,,dmso7.5 m,01rdn7.5 m,4,4,-0.06926540290034522,-0.4434457086919311,0.6580953530755718,,,
,,dmso7.5 m,01rdn15 m,4,4,0.5297678085263762,3.3916392810440046,0.00089265604777089,,,
,,dmso7.5 m,_1rdn2.5 m,4,4,-1.254093215309747,-8.02886046052295,2.8976820942716586e-13,,,
,,dmso7.5 m,_1rdn5 m,4,4,-0.7130526167788522,-4.5650513783492075,1.04719591442759e-05,,,
,,dmso7.5 m,_1rdn7.5 m,4,4,-0.2762631126894348,-1.7686707455995276,0.07902287285556109,,,
,,dmso7.5 m,_1rdn15 m,4,4,0.36561034637686607,2.3406828281566776,0.02059249028958443,,,
,,dmso7.5 m,10rdn2.5 m,4,4,1.3769172526824227,8.815195196429885,3.1086244689504383e-15,,,
,,dmso7.5 m,10rdn5 m,4,4,1.1199062336222014,7.169778744398719,3.391797953611331e-11,,,
,,dmso7.5 m,10rdn7.5 m,4,4,1.200260768882518,7.6842184551788355,2.0101698083863084e-12,,,
,,dmso7.5 m,10rdn15 m,4,4,1.8034290313105674,11.545776554793296,0.0,,,
,,dmso7.5 m,01soq2.5 m,4,4,0.5667401342386826,3.628340700381319,0.0003928624498479305,,,
,,dmso7.5 m,01soq5 m,4,4,1.0406631187702633,6.662454485056272,5.043543360727654e-10,,,
,,dmso7.5 m,01soq7.5 m,4,4,1.145324647768512,7.332510587468377,1.4000356429733074e-11,,,
,,dmso7.5 m,01soq15 m,4,4,1.7027787391773173,10.901400888787366,0.0,,,
,,dmso7.5 m,_1soq2.5 m,4,4,0.6092477190354546,3.9004795355817268,0.00014561016829439666,,,
,,dmso7.5 m,_1soq5 m,4,4,0.8806035101247973,5.637732999051777,8.54450252774086e-08,,,
,,dmso7.5 m,_1soq7.5 m,4,4,1.1302341510740783,7.235899354140187,2.3699708862068292e-11,,,
,,dmso7.5 m,_1soq15 m,4,4,1.5441129271934926,9.88560266205104,0.0,,,
,,dmso7.5 m,10soq2.5 m,4,4,0.772432034719329,4.94520578397958,2.051928037039019e-06,,,
,,dmso7.5 m,10soq5 m,4,4,1.065965153401892,6.82444125202438,2.1521273652069794e-10,,,
,,dmso7.5 m,10soq7.5 m,4,4,1.4095343770293105,9.02401407592602,8.881784197001252e-16,,,
,,dmso7.5 m,10soq15 m,4,4,1.7390753769701892,11.13377647017757,0.0,,,
,,dmso10 m,dmso15 m,4,4,0.33632791174021603,2.153213046188374,0.03293307891860109,,,
,,dmso10 m,dmso20 m,4,4,0.7248738821906877,4.6407325871300005,7.622665624706926e-06,,,
,,dmso10 m,01rdn10 m,4,4,0.08215926484286618,0.5259938136254062,0.5996851396736691,,,
,,dmso10 m,_1rdn10 m,4,4,-0.1780689192718885,-1.1400193284970457,0.25613234112709415,,,
,,dmso10 m,10rdn10 m,4,4,1.32991776534804,8.514298643512427,1.7985612998927536e-14,,,
,,dmso10 m,01soq10 m,4,4,1.31233687011672,8.401743569567243,3.441691376337985e-14,,,
,,dmso10 m,_1soq10 m,4,4,1.2693804331631877,8.126731127134104,1.6631140908884845e-13,,,
,,dmso10 m,10soq10 m,4,4,1.2388193525085385,7.93107529461422,5.03819208574896e-13,,,
,,dmso15 m,dmso20 m,4,4,0.3885459704504717,2.4875195409416264,0.013980893679606865,,,
,,dmso15 m,01rdn2.5 m,4,4,-1.4320863741271737,-9.168394761184842,4.440892098500626e-16,,,
,,dmso15 m,01rdn5 m,4,4,-0.7641001650129438,-4.891864119714773,2.592527404310374e-06,,,
,,dmso15 m,01rdn7.5 m,4,4,-0.48160635515366623,-3.0833036772906866,0.002445566830071577,,,
,,dmso15 m,01rdn15 m,4,4,0.11742685627305516,0.7517813124452489,0.45338456220846735,,,
,,dmso15 m,_1rdn2.5 m,4,4,-1.666434167563068,-10.668718429121705,0.0,,,
,,dmso15 m,_1rdn5 m,4,4,-1.1253935690321732,-7.204909346947963,2.804090293295758e-11,,,
,,dmso15 m,_1rdn7.5 m,4,4,-0.6886040649427558,-4.408528714198283,1.9970610435127156e-05,,,
,,dmso15 m,_1rdn15 m,4,4,-0.046730605876454945,-0.2991751404420778,0.7652289710577669,,,
,,dmso15 m,10rdn2.5 m,4,4,0.9645763004291017,6.175337227831129,6.130322915964825e-09,,,
,,dmso15 m,10rdn5 m,4,4,0.7075652813688804,4.5299207757999636,1.212077466572481e-05,,,
,,dmso15 m,10rdn7.5 m,4,4,0.787919816629197,5.0443604865800795,1.322788997892843e-06,,,
,,dmso15 m,10rdn15 m,4,4,1.3910880790572464,8.905918586194542,1.7763568394002505e-15,,,
,,dmso15 m,01soq2.5 m,4,4,0.15439918198536162,0.9884827317825634,0.3245405325046766,,,
